isolate	Spectinomycin	Cefotaxime	Ceftazidime
ERS379226	19	11	10
ERS379225	17	12	12
ERS379224	18	10	13
ERS379223	15	0	7
ERS379222	14	0	10
ERS379221	19	10	14
ERS379220	16	8	8
ERS379219	19	0	21
ERS379218	16	0	0
ERS379217	13	0	7
ERS379216	18	0	0
ERS358271	20	25	22
ERS358270	16	9	10
ERS358269	15	0	0
ERS358268	15	10	10
ERS358267	17	0	9
ERS358266	19	8	0
ERS358265	17	12	13
ERS358264	17	0	12
ERS358263	20	12	0
ERS358262	18	28	13
ERS358261	16	0	11
ERS358260	18	27	14
ERS358259	20	11	0
ERS358258	20	12	12
ERS358257	16	8	9
ERS358256	17	26	12
ERS358255	16	12	10
ERS358254	17	10	13
ERS358253	15	25	11
ERS358252	21	9	0
ERS358251	16	0	0
ERS358250	19	11	12
ERS358249	18	30	0
ERS358248	15	0	7
ERS358247	15	22	10
ERS358246	15	0	10
ERS358245	16	24	22
ERS358244	15	0	12
ERS358243	19	0	0
ERS358242	18	8	22
ERS358241	15	0	0
ERS358240	15	17	11
ERS358239	15	9	12
ERS358238	17	21	0
ERS358237	18	0	10
ERS358236	15	8	9
ERS358235	16	0	0
ERS358234	17	11	10
ERS358233	17	11	11
ERS358232	17	10	10
ERS358231	16	10	12
ERS358230	18	15	12
ERS358229	17	0	14
ERS358228	17	11	14
ERS358227	18	11	14
ERS358226	17	9	15
ERS358225	17	0	14
ERS358224	17	0	0
ERS358223	17	0	22
ERS358222	17	0	14
ERS358221	17	10	10
ERS358220	15	0	8
ERS358219	17	25	0
ERS358218	15	0	0
ERS358217	14	0	0
ERS358216	14	0	0
ERS358215	16	0	0
ERS358214	16	12	7
ERS358213	14	11	9
ERS358212	15	0	0
ERS358211	15	0	0
ERS358210	17	0	8
ERS358209	16	0	8
ERS358208	16	12	12
ERS358207	16	0	9
ERS358206	15	0	0
ERS358205	16	0	9
ERS358204	17	0	10
ERS358203	12	0	11
ERS358202	15	0	0
ERS358201	16	0	9
ERS358200	25	0	8
ERS358199	18	0	11
ERS358198	14	11	0
ERS358197	18	0	11
ERS358196	15	0	0
ERS358195	15	8	11
ERS358194	15	0	0
ERS358193	12	0	22
ERS358192	16	19	0
ERS358191	18	17	0
ERS358190	18	12	11
ERS358189	20	0	11
ERS358188	18	0	0
ERS358187	15	0	10
ERS358186	15	20	0
ERS358185	16	0	8
ERS358184	18	0	0
ERS358183	16	9	14
ERS358182	18	20	9
ERS358181	18	0	0
ERS358180	15	0	0
ERS358179	16	0	8
ERS358178	18	0	0
ERS358177	16	22	0
ERS358176	18	0	9
ERS358175	18	20	0
ERS358174	17	0	0
ERS358173	19	0	13
ERS358172	18	21	0
ERS358171	19	9	14
ERS358170	20	0	10
ERS358169	19	0	11
ERS358168	16	14	11
ERS358167	18	0	10
ERS358166	19	0	13
ERS358165	16	9	10
ERS358164	17	10	14
ERS358163	15	0	10
ERS358162	19	24	0
ERS358161	19	22	0
ERS358160	19	0	0
ERS358159	18	0	11
ERS358158	18	22	0
ERS358157	18	22	0
ERS358156	18	12	15
ERS358155	18	0	13
ERS358154	18	0	21
ERS358153	18	0	12
ERS358152	19	0	16
ERS358151	22	10	14
ERS358150	19	0	12
ERS358149	16	22	0
ERS358148	18	22	0
ERS358147	20	0	13
ERS358146	17	10	15
ERS358145	17	0	12
ERS358144	19	0	10
ERS358143	15	0	0
ERS358142	15	0	0
ERS358141	18	0	13
ERS358140	15	10	15
ERS358139	18	9	14
ERS358138	17	0	9
ERS358137	15	0	0
ERS358136	17	10	10
ERS358135	18	0	0
ERS358134	18	8	13
ERS358133	17	0	0
ERS358132	19	11	12
ERS358131	15	0	13
ERS358130	18	0	0
ERS358129	19	9	9
ERS358128	18	10	22
ERS358127	22	10	15
ERS358126	17	21	0
ERS358125	16	8	16
ERS358124	16	21	0
ERS358123	18	18	0
ERS358122	16	12	0
ERS358121	19	0	0
ERS358120	19	13	17
ERS358119	18	0	0
ERS358118	15	0	11
ERS358117	18	0	10
ERS358116	17	0	0
ERS358115	15	0	0
ERS358114	19	9	19
ERS358113	16	0	12
ERS358112	22	0	0
ERS358111	18	10	14
ERS358110	18	0	10
ERS358109	19	13	12
ERS358108	16	9	13
ERS358107	17	10	11
ERS358106	14	0	14
