gene_name	Cefotaxime	Ceftazidime	Spectinomycin
aas	0	1	1
acnB	0	0	1
apaG	0	1	1
asnS	0	0	1
atpF	0	0	1
atpI	0	0	1
bipA	0	0	1
carB	0	1	0
csrA	0	0	1
cyoA	0	1	1
dnaX	0	0	1
dxr	0	0	1
epd	0	0	1
epmB	0	1	1
fabG	1	1	1
fadD	0	0	1
fdoG	0	0	1
ftsA	1	0	1
ftsK	0	0	1
ftsO	0	0	1
ftsQ	1	0	0
gcvB	0	0	1
greA	0	0	1
gyrA	0	0	1
hflK	0	0	1
hns	0	0	1
htpG	1	0	0
hupA	0	1	1
infB	0	0	1
lapA	0	0	1
letA	0	1	0
letB	1	0	1
lon	0	0	1
lpxC	0	0	1
malP	0	0	1
metJ	0	0	1
miaB	1	0	0
mraY	0	0	1
mrcB	0	1	0
pepA	1	0	0
pnp	0	1	0
ppa	0	1	1
prfB	0	0	1
purH	1	0	0
ribE	0	1	0
rimP	0	0	1
rlpA	0	0	1
rmf	0	0	1
rnhA	0	0	1
rnt	0	0	1
rodZ	0	0	1
rplF	0	1	0
rplI	0	0	1
rplJ	0	0	1
rplL	0	0	1
rplO	0	1	1
rplP	1	1	1
rplS	0	0	1
rpoA	0	0	1
rpsC	0	1	1
rpsD	0	0	1
rpsF	0	0	1
rpsT	0	0	1
rsmA	0	1	1
seqA	1	0	0
skp	0	1	0
srmB	1	0	1
surA	1	0	0
thrT	0	0	1
tktA	0	0	1
tolR	1	0	0
topA	0	0	1
trmJ	0	1	0
udk	0	0	1
uvrA	0	1	0
wzzE	0	1	0
yadW	1	0	1
ybeD	0	1	1
ychH	0	0	1
yebK	0	0	1
yecF	0	1	1
yeiE	0	0	1
yfcD	0	0	1
ygfB	1	0	1
yhgF	0	0	1
yidD	0	0	1
yqgC	0	0	1
yqgD	0	0	1
yqgE	0	1	1
yqiB	1	1	1
yraN	1	0	0
ytgA	0	1	1
zapA	0	0	1
zapD	0	1	1
