locus_tag	gene_name	coef
b0023	rpsT	0.1496219910027685
b0050	apaG	-0.32696651355652107
b0051	rsmA	-0.5762155558288
b4810	ftsO	0.11014013327615006
b0087	mraY	0.12882263421495763
b0094	ftsA	-0.3790020530824891
b0096	lpxC	0.191769917765111
b0102	zapD	-0.1114719552784232
b0118	acnB	-0.1239641330615201
b4728	yadW	-0.18984523286147825
b0173	dxr	0.14580009955894513
b0214	rnhA	-0.370849980316482
b0432	cyoA	0.21729199251082812
b0439	lon	0.1574313537758761
b0470	dnaX	0.11837005490627507
b0631	ybeD	0.1707732260629159
b0633	rlpA	0.10729031449111612
b0890	ftsK	0.1823008806284533
b0930	asnS	-0.1352339450192978
b0953	rmf	0.1263805964531588
b1093	fabG	-0.18095621183622773
b1205	ychH	-0.21387332029220357
b1237	hns	0.3530563170878163
b1274	topA	0.24304532211664437
b1279	lapA	0.26903697273577626
b1652	rnt	-0.18175285850561954
b1805	fadD	0.11935104622370289
b1834	letB	0.4233679557113182
b1853	yebK	0.4757924505849022
b1915	yecF	-0.36008084560590664
b2066	udk	-0.2882423789516474
b2157	yeiE	0.13018015472704525
b2231	gyrA	0.21655701852792322
b2299	yfcD	-0.1658506521559978
b2516	rodZ	-0.2191948571859694
b2576	srmB	0.35386156878735725
b2606	rplS	0.10916035421329211
b2696	csrA	-0.16742280680319813
b4443	gcvB	-0.170783747003758
b2836	aas	0.5780590586681656
b2891	prfB	0.13133057930738679
b2909	ygfB	0.10448867053300524
b2910	zapA	-0.17889073456064333
b2927	epd	-0.39170363568228767
b2935	tktA	-0.21051946048540876
b2940	yqgC	-0.22028153567558273
b2941	yqgD	0.11572902123945336
b2948	yqgE	-0.18683908915846018
b3033	yqiB	-0.35218933707532096
b3168	infB	0.10808365266658325
b3170	rimP	-0.15926244568874226
b3181	greA	0.10987852781086102
b3295	rpoA	-0.1219455119622328
b3296	rpsD	-0.1720646773129471
b3301	rplO	-0.1517231097108949
b3313	rplP	-0.21434083509270468
b3314	rpsC	-0.3357691850187435
b3407	yhgF	-0.23331220723926338
b3417	malP	-0.2499300093930004
b4557	yidD	-0.11846065233331929
b3736	atpF	-0.11080508554521486
b3739	atpI	-0.2815500393620281
b3871	bipA	0.39327541280942035
b3894	fdoG	0.13988639461237012
b3938	metJ	0.20468367678071014
b3979	thrT	-0.11213102066371368
b3985	rplJ	0.19349789511926366
b3986	rplL	-0.17975461019731537
b4000	hupA	0.13815106012219533
b4146	epmB	0.10799226365642335
b4174	hflK	-0.1128321470399038
b4200	rpsF	-0.13517946065509112
b4203	rplI	-0.41142739717329063
b4226	ppa	0.3564629594489349
b4800	ytgA	0.26253916775230474
