Run	PEN	TET	SPEC	CFX	CRO	CIP	AZI	ZOL
SRR16683814	0.015	0.25	16	0.002	0.001	0.004	0.125	0.06
SRR16683803	0.03	0.25	16	0.002	0.001	0.004	0.125	0.125
SRR16683792	0.06	0.125	16	0.008	0.004	0.004	0.06	0.03
SRR16683781	0.06	0.25	16	0.008	0.004	0.004	0.06	0.03
SRR16683770	0.25	0.25	32	0.03	0.015	0.008	0.25	0.25
SRR16683758	0.06	0.25	16	0.015	0.008	0.004	0.25	0.06
SRR16683747	1	2	16	0.03	0.015	0.008	0.5	0.125
SRR16683736	0.25	1	16	0.015	0.008	0.004	0.06	0.125
SRR16683642	2	4	16	0.03	0.03	0.015	0.25	0.125
SRR16683630	0.25	1	16	0.06	0.03	0.015	0.25	0.125
SRR16683619	2	1	16	0.03	0.03	0.008	0.25	0.06
SRR16683578	0.25	1	16	0.03	0.015	0.015	0.5	0.125
SRR16683577	2	4	16	0.125	0.03	16	8	0.125
SRR16683576	0.25	0.25	16	0.03	0.015	0.008	0.25	0.25
SRR16683575	0.25	0.5	16	0.008	0.004	0.004	0.03	0.004
SRR16683573	4	2	16	0.125	0.125	0.015	0.25	0.125
SRR16683572	0.25	1	16	0.03	0.015	0.008	0.06	0.125
SRR16683571	2	2	16	0.125	0.06	8	0.25	0.125
SRR16683570	0.25	1	16	0.015	0.008	0.004	0.25	0.125
SRR16683569	0.25	1	16	0.015	0.008	0.008	0.06	0.125
SRR16683568	0.5	1	16	0.03	0.015	0.015	0.5	0.125
SRR16683567	0.125	0.25	16	0.008	0.004	0.004	0.03	0.03
SRR16683566	0.5	0.5	16	0.015	0.008	0.004	0.125	0.06
SRR16683565	1	4	16	0.06	0.03	8	0.25	0.06
SRR16683564	0.25	0.5	16	0.015	0.008	0.004	0.125	0.125
SRR16683562	0.25	32	16	0.008	0.008	0.008	0.06	0.125
SRR16683561	0.25	32	16	0.03	0.015	4	0.06	0.06
SRR16683560	0.25	1	16	0.06	0.03	0.008	0.25	0.125
SRR16683559	0.03	0.25	16	0.002	0.001	0.004	0.125	0.06
SRR16683558	1	1	16	0.03	0.015	0.004	0.25	0.06
SRR16683557	2	4	16	0.125	0.06	16	0.5	0.125
SRR16683556	1	1	16	0.03	0.015	0.004	0.125	0.125
SRR16683555	0.25	0.5	16	0.008	0.004	0.004	0.015	0.008
SRR16683554	2	4	16	0.25	0.06	16	0.5	0.125
SRR16683553	2	4	32	0.125	0.06	16	0.5	0.125
SRR16683523	1	4	32	0.125	0.06	16	0.5	0.125
SRR16683522	1	4	16	0.125	0.03	16	0.5	0.125
SRR16683521	0.25	1	16	0.015	0.008	0.008	1	0.125
SRR16683520	2	4	32	0.25	0.06	16	0.5	0.125
SRR16683519	4	8	32	0.125	0.06	16	1	0.25
SRR16683518	2	4	32	0.25	0.125	16	0.5	0.125
SRR16683517	1	1	16	0.03	0.015	0.004	0.125	0.06
SRR16683729	4	1	16	0.008	0.004	0.5	0.25	0.125
SRR16683728	64	1	16	0.008	0.004	4	0.25	0.125
SRR16683727	8	32	16	0.03	0.015	1	0.125	0.06
SRR16683726	64	1	16	0.008	0.004	4	0.25	0.125
SRR16683640	64	1	16	0.008	0.004	4	0.25	0.125
SRR16683639	8	32	16	0.015	0.008	1	0.25	0.06
SRR16683638	64	1	16	0.008	0.004	4	0.125	0.06
SRR16683637	64	1	16	0.008	0.004	4	0.25	0.125
SRR16683636	64	0.5	16	0.008	0.004	4	0.125	0.125
SRR16683635	64	0.5	16	0.008	0.004	0.004	0.25	0.125
SRR16683634	64	1	16	0.015	0.008	4	0.25	0.125
SRR16683633	16	1	16	0.03	0.015	2	0.125	0.06
SRR16683632	64	1	16	0.015	0.008	4	0.25	0.125
SRR16683631	64	0.5	16	0.008	0.004	4	0.125	0.125
SRR16683629	64	1	16	0.015	0.008	4	0.125	0.125
SRR16683628	64	1	16	0.008	0.004	4	0.25	0.125
SRR16683627	64	1	16	0.008	0.004	4	0.25	0.125
SRR16683626	64	1	16	0.008	0.004	4	0.25	0.125
SRR16683625	64	1	16	0.015	0.008	4	0.25	0.125
SRR16683624	64	1	16	0.008	0.004	4	0.25	0.125
SRR16683623	8	1	16	0.03	0.015	4	0.125	0.06
SRR16683622	64	1	16	0.015	0.008	4	0.03	0.004
SRR16683621	64	1	16	0.008	0.004	4	0.125	0.06
SRR16683620	8	1	16	0.03	0.015	1	0.125	0.06
SRR16683618	64	1	16	0.015	0.008	4	0.25	0.125
SRR16683617	64	4	16	0.015	0.015	8	0.25	0.125
SRR16683616	4	1	16	0.015	0.008	4	0.125	0.125
SRR16683615	4	0.5	16	0.015	0.008	2	0.03	0.015
SRR16683614	32	64	16	0.008	0.008	4	0.125	0.125
SRR16683580	16	32	16	0.06	0.03	2	0.125	0.125
SRR16683579	32	1	16	0.008	0.004	4	0.25	0.125
