Sample	Run	Location	Date	Anatomic Site	PEN	TET	SPEC	CFX	CRO	CIP	AZI	ZOL
AAA001	SRR16683814	Canada	2009	knee fl	0.015	0.25	16	0.002	0.001	0.004	0.125	0.06
AAA002	SRR16683803	Canada	2010	NA	0.03	0.25	16	0.002	0.001	0.004	0.125	0.125
AAA003	SRR16683792	Canada	2004	Endocervical	0.06	0.125	16	0.008	0.004	0.004	0.06	0.03
AAA004	SRR16683781	Canada	2006	uterus	0.06	0.25	16	0.008	0.004	0.004	0.06	0.03
AAA005	SRR16683770	Canada	2008	penis	0.25	0.25	32	0.03	0.015	0.008	0.25	0.25
AAA006	SRR16683758	Canada	2008	eye	0.06	0.25	16	0.015	0.008	0.004	0.25	0.06
AAA007	SRR16683747	Canada	2006	Endocervical	1	2	16	0.03	0.015	0.008	0.5	0.125
AAA008	SRR16683736	Canada	2011	Urethral	0.25	1	16	0.015	0.008	0.004	0.06	0.125
AAA009	SRR16683642	Canada	2012	Urethral	2	4	16	0.03	0.03	0.015	0.25	0.125
AAA010	SRR16683630	Canada	2012	Urethral	0.25	1	16	0.06	0.03	0.015	0.25	0.125
AAA012	SRR16683619	Canada	2013	Endocervical	2	1	16	0.03	0.03	0.008	0.25	0.06
AAA013	SRR16683578	Canada	2013	Vaginal	0.25	1	16	0.03	0.015	0.015	0.5	0.125
AAA015	SRR16683577	Canada	2013	Endocervical	2	4	16	0.125	0.03	16	8	0.125
AAA019	SRR16683576	Canada	2013	Urethral	0.25	0.25	16	0.03	0.015	0.008	0.25	0.25
AAA020	SRR16683575	Canada	2014	Urethral	0.25	0.5	16	0.008	0.004	0.004	0.03	0.004
AAA021	SRR16683573	Canada	2014	Urethral	4	2	16	0.125	0.125	0.015	0.25	0.125
AAA022	SRR16683572	Canada	2014	Left Wr	0.25	1	16	0.03	0.015	0.008	0.06	0.125
AAA023	SRR16683571	Canada	2014	Urethral	2	2	16	0.125	0.06	8	0.25	0.125
AAA024	SRR16683570	Canada	2014	Rectal	0.25	1	16	0.015	0.008	0.004	0.25	0.125
AAA025	SRR16683569	Canada	2014	Urethral	0.25	1	16	0.015	0.008	0.008	0.06	0.125
AAA026	SRR16683568	Canada	2014	Urethral	0.5	1	16	0.03	0.015	0.015	0.5	0.125
AAA027	SRR16683567	Canada	2014	Endocervical	0.125	0.25	16	0.008	0.004	0.004	0.03	0.03
AAA028	SRR16683566	Canada	2014	Urethral	0.5	0.5	16	0.015	0.008	0.004	0.125	0.06
AAA029	SRR16683565	Canada	2014	Rectal	1	4	16	0.06	0.03	8	0.25	0.06
AAA030	SRR16683564	Canada	2015	Urethral	0.25	0.5	16	0.015	0.008	0.004	0.125	0.125
AAA031	SRR16683562	Canada	2015	Urethral	0.25	32	16	0.008	0.008	0.008	0.06	0.125
AAA033	SRR16683561	Canada	2015	Ankle	0.25	32	16	0.03	0.015	4	0.06	0.06
AAA035	SRR16683560	Canada	2015	Blood	0.25	1	16	0.06	0.03	0.008	0.25	0.125
AAA036	SRR16683559	Canada	2015	Blood	0.03	0.25	16	0.002	0.001	0.004	0.125	0.06
AAA037	SRR16683558	Canada	2015	Urethral	1	1	16	0.03	0.015	0.004	0.25	0.06
AAA038	SRR16683557	Canada	2015	Urethral	2	4	16	0.125	0.06	16	0.5	0.125
AAA039	SRR16683556	Canada	2015	Urethral	1	1	16	0.03	0.015	0.004	0.125	0.125
AAA040	SRR16683555	Canada	2015	Urethral	0.25	0.5	16	0.008	0.004	0.004	0.015	0.008
AAA041	SRR16683554	Canada	2017	Urethral	2	4	16	0.25	0.06	16	0.5	0.125
AAA042	SRR16683553	Canada	2017	Urethral	2	4	32	0.125	0.06	16	0.5	0.125
AAA044	SRR16683523	Canada	2017	Urethral	1	4	32	0.125	0.06	16	0.5	0.125
AAA046	SRR16683522	Canada	2017	Urethral	1	4	16	0.125	0.03	16	0.5	0.125
AAA047	SRR16683521	Canada	2017	Urethral	0.25	1	16	0.015	0.008	0.008	1	0.125
AAA048	SRR16683520	Canada	2017	Urethral	2	4	32	0.25	0.06	16	0.5	0.125
AAA049	SRR16683519	Canada	2017	Urethral	4	8	32	0.125	0.06	16	1	0.25
AAA050	SRR16683518	Canada	2017	Endocervical	2	4	32	0.25	0.125	16	0.5	0.125
BBB032	SRR16683517	Canada	2015	Pharyngeal	1	1	16	0.03	0.015	0.004	0.125	0.06
Ng_102	SRR16683729	Dominican Republic	2019-08	Urethral	4	1	16	0.008	0.004	0.5	0.25	0.125
Ng_114	SRR16683728	Dominican Republic	2018-09	Urethral	64	1	16	0.008	0.004	4	0.25	0.125
Ng_118	SRR16683727	Dominican Republic	2019-08	Urethral	8	32	16	0.03	0.015	1	0.125	0.06
Ng_123	SRR16683726	Dominican Republic	2019-08	Urethral	64	1	16	0.008	0.004	4	0.25	0.125
Ng_126	SRR16683640	Dominican Republic	2019-08	Urethral	64	1	16	0.008	0.004	4	0.25	0.125
Ng_128	SRR16683639	Dominican Republic	2019-08	Urethral	8	32	16	0.015	0.008	1	0.25	0.06
Ng_129	SRR16683638	Dominican Republic	2019-08	Urethral	64	1	16	0.008	0.004	4	0.125	0.06
Ng_131	SRR16683637	Dominican Republic	2019-08	Urethral	64	1	16	0.008	0.004	4	0.25	0.125
Ng_133	SRR16683636	Dominican Republic	2019-08	Urethral	64	0.5	16	0.008	0.004	4	0.125	0.125
Ng_134	SRR16683635	Dominican Republic	2019-08	Urethral	64	0.5	16	0.008	0.004	0.004	0.25	0.125
Ng_136	SRR16683634	Dominican Republic	2019-08	Urethral	64	1	16	0.015	0.008	4	0.25	0.125
Ng_140	SRR16683633	Dominican Republic	2019-09	Urethral	16	1	16	0.03	0.015	2	0.125	0.06
Ng_141	SRR16683632	Dominican Republic	2019-09	Urethral	64	1	16	0.015	0.008	4	0.25	0.125
Ng_144	SRR16683631	Dominican Republic	2019-09	Urethral	64	0.5	16	0.008	0.004	4	0.125	0.125
Ng_148	SRR16683629	Dominican Republic	2019-09	Urethral	64	1	16	0.015	0.008	4	0.125	0.125
Ng_151	SRR16683628	Dominican Republic	2019-09	Urethral	64	1	16	0.008	0.004	4	0.25	0.125
Ng_154	SRR16683627	Dominican Republic	2019-09	Urethral	64	1	16	0.008	0.004	4	0.25	0.125
Ng_162	SRR16683626	Dominican Republic	2019-10	Urethral	64	1	16	0.008	0.004	4	0.25	0.125
Ng_163	SRR16683625	Dominican Republic	2019-10	Urethral	64	1	16	0.015	0.008	4	0.25	0.125
Ng_165	SRR16683624	Dominican Republic	2019-10	Urethral	64	1	16	0.008	0.004	4	0.25	0.125
Ng_171	SRR16683623	Dominican Republic	2019-10	Urethral	8	1	16	0.03	0.015	4	0.125	0.06
Ng_175	SRR16683622	Dominican Republic	2019-10	Urethral	64	1	16	0.015	0.008	4	0.03	0.004
Ng_176	SRR16683621	Dominican Republic	2019-10	Urethral	64	1	16	0.008	0.004	4	0.125	0.06
Ng_180	SRR16683620	Dominican Republic	2019-11	Urethral	8	1	16	0.03	0.015	1	0.125	0.06
Ng_183	SRR16683618	Dominican Republic	2019-11	Urethral	64	1	16	0.015	0.008	4	0.25	0.125
Ng_188	SRR16683617	Dominican Republic	2019-11	Urethral	64	4	16	0.015	0.015	8	0.25	0.125
Ng_25	SRR16683616	Dominican Republic	2019-02	Urethral	4	1	16	0.015	0.008	4	0.125	0.125
Ng_30	SRR16683615	Dominican Republic	2018-03	Urethral	4	0.5	16	0.015	0.008	2	0.03	0.015
Ng_54	SRR16683614	Dominican Republic	2019-05	Urethral	32	64	16	0.008	0.008	4	0.125	0.125
Ng_74	SRR16683580	Dominican Republic	2019-06	Urethral	16	32	16	0.06	0.03	2	0.125	0.125
Ng_91	SRR16683579	Dominican Republic	2019-07	Urethral	32	1	16	0.008	0.004	4	0.25	0.125
