.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR16683517_1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR16683517_2	1	1	1	0.5	0.5	1	0.5	0.5	1	1
SRR16683518_1	1	1	1	0.5	0.5	1	0.5	0.5	1	1
SRR16683518_2	1	1	1	0.5	0.5	1	0.5	0.5	1	1
SRR16683519_1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR16683519_2	1	1	1	0.5	0.5	1	0.5	0.5	1	1
SRR16683520_1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR16683520_2	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR16683521_1	1	1	1	0.5	0.5	1	0.5	0.5	1	1
SRR16683521_2	1	1	1	0.5	0.5	1	0.5	0.5	1	1
SRR16683522_1	1	1	1	0.5	0.5	1	0.5	0.5	1	1
SRR16683522_2	1	1	1	0.5	0.5	1	0.5	0.5	1	1
SRR16683523_1	1	1	1	0.5	0.5	1	0.5	0.5	1	1
SRR16683523_2	1	1	1	0.5	0.5	1	0.5	0.5	1	1
SRR16683553_1	1	1	1	0.5	0.5	1	0.5	0.5	1	1
SRR16683553_2	1	1	1	0.5	0.5	1	0.5	0.5	1	1
SRR16683554_1	1	1	1	0.5	0.5	1	0.5	0.5	1	1
SRR16683554_2	1	1	1	0.5	0.5	1	0.5	0.5	1	1
SRR16683555_1	1	1	1	0.5	0.5	1	0.5	0.5	1	1
SRR16683555_2	1	1	1	0.5	0.5	1	0.5	0.5	1	1
SRR16683556_1	1	1	1	0.5	0.5	1	0.5	0.5	1	1
SRR16683556_2	1	1	1	0.5	0.5	1	0.5	0.5	1	1
SRR16683557_1	1	1	1	0.5	0.5	1	0.5	0.5	1	1
SRR16683557_2	1	1	1	0.5	0.5	1	0.5	0.5	1	1
