Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR16683517_2 - polyg	(1, 0.07766965038542209)	(2, 0.07781415206055776)	(3, 0.07795865373569343)	(4, 0.07803090457326127)	(5, 0.07889791462407528)	(6, 0.07911466713677878)	(7, 0.07933141964948229)	(8, 0.07947592132461796)	(9, 0.07983717551245713)	(10, 0.0804151822129998)	(12, 0.08099318891354249)	(14, 0.08153507019530123)	(16, 0.08182407354557258)	(18, 0.08279945985273834)	(20, 0.08305233778422576)	(22, 0.08348584280963277)	(24, 0.08431672744166287)	(26, 0.08482248330463771)	(28, 0.08608687296207482)	(30, 0.08659262882504966)	(32, 0.08720676094437625)	(34, 0.087748642226135)	(36, 0.08847115060181335)	(38, 0.08890465562722036)	(40, 0.08984391651560221)	(42, 0.09045804863492879)	(44, 0.09081930282276798)	(46, 0.09099992991668757)	(48, 0.09146956036087849)	(50, 0.09157793661723024)	(52, 0.09222819415534075)	(54, 0.09334808213764217)	(56, 0.09388996341940094)	(58, 0.09428734302602403)	(60, 0.09515435307683803)	(62, 0.09540723100832546)	(64, 0.0958768614525164)	(66, 0.09638261731549122)	(68, 0.09688837317846608)	(70, 0.097358003622657)	(72, 0.09768313239171225)	(74, 0.09847789160495843)	(76, 0.0990558983055011)	(78, 0.09956165416847595)	(80, 0.10024803712537038)	(82, 0.1009344200822648)	(84, 0.10158467762037532)	(86, 0.10248781308997325)	(88, 0.10302969437173201)	(90, 0.10360770107227468)	(92, 0.1040773315164656)	(94, 0.10454696196065652)	(96, 0.10545009743025446)	(98, 0.10613648038714889)	(100, 0.1066061108313398)	(102, 0.10732861920701817)	(104, 0.1080511275826965)	(106, 0.10899038847107835)	(108, 0.10956839517162104)	(110, 0.11003802561581194)	(112, 0.11036315438486721)	(114, 0.11101341192297771)	(116, 0.11173592029865606)	(118, 0.11263905576825399)	(120, 0.11397569626325893)	(122, 0.11524008592069604)	(124, 0.11639609932178138)	(126, 0.11747986188529891)	(128, 0.11903325489300734)	(130, 0.12062277331949971)	(132, 0.12282642386531865)	(134, 0.1256803319492481)	(136, 0.12810073500777058)	(138, 0.1300515076221021)
SRR16683518_2 - polyg	(1, 0.06212542883558526)	(2, 0.06212542883558526)	(3, 0.06212542883558526)	(4, 0.06230142155183337)	(5, 0.06306405665557521)	(6, 0.06329871361057271)	(7, 0.06359203480431956)	(8, 0.06365069904306894)	(9, 0.06400268447556517)	(10, 0.06435466990806141)	(12, 0.06494131229555512)	(14, 0.0654106262055501)	(16, 0.0656452831605476)	(18, 0.06579194375742103)	(20, 0.06599726859304383)	(22, 0.06614392918991727)	(24, 0.06684790005490973)	(26, 0.06725854972615533)	(28, 0.06787452423302374)	(30, 0.06851983085926683)	(32, 0.06887181629176306)	(34, 0.06945845867925679)	(36, 0.07016242954424926)	(38, 0.07063174345424425)	(40, 0.07098372888674047)	(42, 0.07142371067736077)	(44, 0.07224501001985198)	(46, 0.0728609845267204)	(48, 0.07353562327233817)	(50, 0.07391694082420909)	(52, 0.0745035832117028)	(54, 0.0751488898379459)	(56, 0.07588219282231307)	(58, 0.0762341782548093)	(60, 0.07673282428417896)	(62, 0.07699681335855113)	(64, 0.07758345574604486)	(66, 0.07817009813353858)	(68, 0.07866874416290824)	(70, 0.07951937562477415)	(72, 0.08007668589289318)	(74, 0.08080998887726033)	(76, 0.08124997066788062)	(78, 0.08198327365224778)	(80, 0.08280457299473899)	(82, 0.08336188326285802)	(84, 0.08409518624722517)	(86, 0.08482848923159234)	(88, 0.08570845281283292)	(90, 0.08626576308095196)	(92, 0.08676440911032163)	(94, 0.08726305513969129)	(96, 0.08802569024343312)	(98, 0.08875899322780029)	(100, 0.08949229621216742)	(102, 0.08990294588341304)	(104, 0.09046025615153208)	(106, 0.09122289125527391)	(108, 0.09172153728464358)	(110, 0.09271882934338291)	(112, 0.09330547173087664)	(114, 0.09392144623774504)	(116, 0.09456675286398813)	(118, 0.09518272737085655)	(120, 0.0961506873102212)	(122, 0.09711864724958583)	(124, 0.09767595751770486)	(126, 0.098878574412067)	(128, 0.10011052342580382)	(130, 0.10119581184266721)	(132, 0.1031023996020218)	(134, 0.10468633404825486)	(136, 0.10641692909136134)	(138, 0.10829418473134125)
SRR16683519_2 - polyg	(1, 0.0754394076676546)	(2, 0.07566578248436175)	(3, 0.07577896989271532)	(4, 0.07606193841359925)	(5, 0.07668446915954388)	(6, 0.07691084397625102)	(7, 0.07719381249713494)	(8, 0.07730699990548852)	(9, 0.07747678101801887)	(10, 0.077703155834726)	(12, 0.07792953065143315)	(14, 0.07841057713693582)	(16, 0.07855206139737779)	(18, 0.07869354565781975)	(20, 0.0788633267703501)	(22, 0.07908970158705725)	(24, 0.07945756066420634)	(26, 0.07982541974135546)	(28, 0.08022157567059296)	(30, 0.08090070012071437)	(32, 0.08132515290204026)	(34, 0.08177790253545454)	(36, 0.08223065216886882)	(38, 0.08251362068975275)	(40, 0.08305126087943221)	(42, 0.08350401051284649)	(44, 0.0838718695899956)	(46, 0.08438121292758666)	(48, 0.08494714996935451)	(50, 0.08551308701112237)	(52, 0.08579605553200628)	(54, 0.08658836739048129)	(56, 0.08718260128433752)	(58, 0.0876353509177518)	(60, 0.08805980369907769)	(62, 0.08854085018458036)	(64, 0.08907849037425983)	(66, 0.08950294315558571)	(68, 0.08989909908482321)	(70, 0.0902669581619723)	(72, 0.0907197077953866)	(74, 0.09139883224550802)	(76, 0.09210625354771783)	(78, 0.09270048744157408)	(80, 0.09295515911036961)	(82, 0.09360598670840264)	(84, 0.09428511115852406)	(86, 0.0949076419044687)	(88, 0.09547357894623654)	(90, 0.09584143802338566)	(92, 0.09623759395262314)	(94, 0.09686012469856778)	(96, 0.09773732711330796)	(98, 0.09813348304254545)	(100, 0.09861452952804811)	(102, 0.09898238860519723)	(104, 0.09954832564696509)	(106, 0.10000107528037935)	(108, 0.10048212176588203)	(110, 0.10101976195556149)	(112, 0.10155740214524095)	(114, 0.1017554801098597)	(116, 0.10260438567251148)	(118, 0.1032269164184561)	(120, 0.10410411883319629)	(122, 0.1051511023604668)	(124, 0.10577363310641144)	(126, 0.10752803793589179)	(128, 0.10945222387790249)	(130, 0.11151789408035515)	(132, 0.11426268873292922)	(134, 0.11712067079385687)	(136, 0.11992205915060773)	(138, 0.12286493176780056)
SRR16683520_2 - polyg	(1, 0.0743043048858421)	(2, 0.0743624005112415)	(3, 0.07447859176204032)	(4, 0.07465287863823854)	(5, 0.07529193051763203)	(6, 0.07546621739383025)	(7, 0.0758728867716261)	(8, 0.07622146052402254)	(9, 0.07633765177482135)	(10, 0.07648289083831987)	(12, 0.07694765584151514)	(14, 0.0774124208447104)	(16, 0.0774705164701098)	(18, 0.07761575553360832)	(20, 0.07767385115900773)	(22, 0.07784813803520595)	(24, 0.07857433335269853)	(26, 0.07895195491779469)	(28, 0.07938767210829024)	(30, 0.07970719804798698)	(32, 0.08008481961308314)	(34, 0.08084006274327543)	(36, 0.08223435775286121)	(38, 0.08261197931795736)	(40, 0.08304769650845291)	(42, 0.08357055713704759)	(44, 0.08406436995294254)	(46, 0.08470342183233603)	(48, 0.08551676058792773)	(50, 0.08641724278161854)	(52, 0.086765816534015)	(54, 0.08737582060070877)	(56, 0.08816011154360076)	(58, 0.08859582873409633)	(60, 0.08914773717539069)	(62, 0.09022250624527972)	(64, 0.09109394062627084)	(66, 0.09138441875326787)	(68, 0.09173299250566433)	(70, 0.0923720443850578)	(72, 0.09315633532794981)	(74, 0.09350490908034625)	(76, 0.09379538720734329)	(78, 0.09428920002323825)	(80, 0.0947539650264335)	(82, 0.09518968221692907)	(84, 0.09577063847092314)	(86, 0.09640969035031663)	(88, 0.096961598791611)	(90, 0.09725207691860803)	(92, 0.09765874629640388)	(94, 0.09844303723929587)	(96, 0.09945971068378551)	(98, 0.09989542787428107)	(100, 0.10038924069017603)	(102, 0.1009121013187707)	(104, 0.10137686632196596)	(106, 0.10192877476326033)	(108, 0.10259687445535351)	(110, 0.10317783070934758)	(112, 0.10346830883634463)	(114, 0.10396212165223959)	(116, 0.10463022134433278)	(118, 0.10550165572532388)	(120, 0.10625689885551617)	(122, 0.10736071573810492)	(124, 0.10855167605879278)	(126, 0.10977168419218034)	(128, 0.11148550514146285)	(130, 0.11369313890664033)	(132, 0.11633648986231337)	(134, 0.11871841050368907)	(136, 0.1212455702085633)	(138, 0.12351129959914019)
SRR16683521_2 - polyg	(1, 0.06788973543863154)	(2, 0.06795294748280158)	(3, 0.06801615952697163)	(4, 0.06814258361531172)	(5, 0.0687747040570122)	(6, 0.06883791610118226)	(7, 0.06915397632203249)	(8, 0.06947003654288274)	(9, 0.06953324858705279)	(10, 0.06965967267539289)	(12, 0.06997573289624312)	(14, 0.07070267140419867)	(16, 0.0710187316250489)	(18, 0.0715244279784093)	(20, 0.07184048819925953)	(22, 0.07244100261887498)	(24, 0.07316794112683055)	(26, 0.07380006156853103)	(28, 0.07417933383355131)	(30, 0.0746850301869117)	(32, 0.07515912051818704)	(34, 0.07594927107031266)	(36, 0.07686584571077834)	(38, 0.07790884443958414)	(40, 0.07857257090336964)	(42, 0.07895184316838993)	(44, 0.07977359974260055)	(46, 0.08037411416221601)	(48, 0.08119587073642663)	(50, 0.08182799117812711)	(52, 0.08249171764191263)	(54, 0.08302902001735803)	(56, 0.08438807896701406)	(58, 0.08517822951913966)	(60, 0.08581034996084014)	(62, 0.08660050051296575)	(64, 0.08764349924177153)	(66, 0.08805437752887685)	(68, 0.08893934614725751)	(70, 0.0899823448760633)	(72, 0.09058285929567876)	(74, 0.09156264598031451)	(76, 0.09251082664286522)	(78, 0.09364864343792609)	(80, 0.09462843012256184)	(82, 0.09545018669677247)	(84, 0.09658800349183333)	(86, 0.09740976006604393)	(88, 0.0982631226623396)	(90, 0.09873721299361496)	(92, 0.09949575752365553)	(94, 0.10015948398744104)	(96, 0.10082321045122652)	(98, 0.10161336100335214)	(100, 0.10218226940088257)	(102, 0.102751177798413)	(104, 0.10373096448304875)	(106, 0.10461593310142941)	(108, 0.10509002343270477)	(110, 0.10562732580815018)	(112, 0.10610141613942554)	(114, 0.10679674862529606)	(116, 0.10768171724367674)	(118, 0.10847186779580234)	(120, 0.10929362437001297)	(122, 0.11008377492213857)	(124, 0.11125319773928447)	(126, 0.11280189282145062)	(128, 0.11425576983736173)	(130, 0.11608891911829312)	(132, 0.11808009850964964)	(134, 0.12029252005560132)	(136, 0.12282100182240324)	(138, 0.12490699928001482)
SRR16683522_2 - polyg	(1, 0.08530542266669035)	(2, 0.08535766113739868)	(3, 0.08551437654952364)	(4, 0.08577556890306524)	(5, 0.08629795361014847)	(6, 0.0866113844343984)	(7, 0.08687257678794001)	(8, 0.08702929220006499)	(9, 0.08755167690714821)	(10, 0.08799570390816895)	(12, 0.08862256555666881)	(14, 0.08924942720516868)	(16, 0.0894322618526478)	(18, 0.08982405038296024)	(20, 0.09018971967791849)	(22, 0.0904509120314601)	(24, 0.0910516544446058)	(26, 0.09144344297491822)	(28, 0.09183523150523064)	(30, 0.09217478156483473)	(32, 0.09288000091939709)	(34, 0.09348074333254279)	(36, 0.09436879733458428)	(38, 0.09478670510025085)	(40, 0.09530908980733407)	(42, 0.09577923604370897)	(44, 0.09635385922150053)	(46, 0.09705907857606287)	(48, 0.09781653640133355)	(50, 0.09888742505085416)	(52, 0.09943592899329154)	(54, 0.10042845993674966)	(56, 0.10131651393879114)	(58, 0.10210009099941597)	(60, 0.10317097964893658)	(62, 0.10413739135704055)	(64, 0.10494708765301954)	(66, 0.10560006853687356)	(68, 0.10607021477324846)	(70, 0.10661871871568585)	(72, 0.10714110342276909)	(74, 0.10815975360158137)	(76, 0.10896944989756036)	(78, 0.109883623134956)	(80, 0.1108239156077058)	(82, 0.11150301572691398)	(84, 0.11215599661076803)	(86, 0.11262614284714292)	(88, 0.11317464678958031)	(90, 0.11380150843808018)	(92, 0.11442837008658005)	(94, 0.11518582791185071)	(96, 0.11562985491287145)	(98, 0.11625671656137132)	(100, 0.1164134319734963)	(102, 0.11672686279774622)	(104, 0.11698805515128784)	(106, 0.11743208215230858)	(108, 0.11839849386041254)	(110, 0.11910371321497489)	(112, 0.11944326327457899)	(114, 0.12004400568772469)	(116, 0.12082758274834952)	(118, 0.121715636750391)	(120, 0.12270816769384912)	(122, 0.12430144105045296)	(124, 0.1260253105838276)	(126, 0.12772306088184807)	(128, 0.1293163342384519)	(130, 0.1309096075950557)	(132, 0.13352153113047183)	(134, 0.13647300472549206)	(136, 0.13916328596697064)	(138, 0.1413050632660119)
SRR16683523_2 - polyg	(1, 0.0786177643814225)	(2, 0.0786177643814225)	(3, 0.07885727013734457)	(4, 0.07903689945428613)	(5, 0.07963566384409133)	(6, 0.07993504603899393)	(7, 0.08005479891695497)	(8, 0.08035418111185758)	(9, 0.08053381042879913)	(10, 0.08083319262370173)	(12, 0.08119245125758484)	(14, 0.08188103030586083)	(16, 0.08224028893974394)	(18, 0.08250973291515629)	(20, 0.08259954757362706)	(22, 0.08280911511005888)	(24, 0.08319831196343226)	(26, 0.08358750881680564)	(28, 0.0839168292311985)	(30, 0.08427608786508162)	(32, 0.084665284718455)	(34, 0.08523411088876993)	(36, 0.08601250459551668)	(38, 0.08643163966838033)	(40, 0.08706034227767578)	(42, 0.0877189831064615)	(44, 0.08852731503269853)	(46, 0.08909614120301346)	(48, 0.08990447312925048)	(50, 0.0904134228605849)	(52, 0.09059305217752646)	(54, 0.09095231081140957)	(56, 0.091461260542744)	(58, 0.09188039561560762)	(60, 0.0923594071274518)	(62, 0.09286835685878621)	(64, 0.09334736837063037)	(66, 0.09388625632145504)	(68, 0.09436526783329921)	(70, 0.09508378510106544)	(72, 0.09574242592985116)	(74, 0.09667051073404923)	(76, 0.09753871909926676)	(78, 0.09813748348907195)	(80, 0.09858655678142585)	(82, 0.09933501226868235)	(84, 0.09987390021950703)	(86, 0.10029303529237066)	(88, 0.10113130543809794)	(90, 0.10152050229147132)	(92, 0.10199951380331548)	(94, 0.10253840175414015)	(96, 0.10331679546088691)	(98, 0.10358623943629926)	(100, 0.1041550656066142)	(102, 0.10475382999641938)	(104, 0.10520290328877328)	(106, 0.10568191480061745)	(108, 0.10634055562940317)	(110, 0.10687944358022784)	(112, 0.10723870221411096)	(114, 0.10771771372595512)	(116, 0.1084062927742311)	(118, 0.10894518072505577)	(120, 0.1100528948461954)	(122, 0.11125042362580578)	(124, 0.1125078288443967)	(126, 0.11412449269687075)	(128, 0.11630998271965971)	(130, 0.11921399001021493)	(132, 0.12148929469147468)	(134, 0.12352509361681235)	(136, 0.12606984227348444)	(138, 0.12831520873525393)
SRR16683553_2 - polyg	(1, 0.0805127305773002)	(2, 0.08057405025024558)	(3, 0.08063536992319098)	(4, 0.08081932894202716)	(5, 0.0811872469796995)	(6, 0.08143252567148108)	(7, 0.08173912403620805)	(8, 0.08198440272798961)	(9, 0.08229100109271657)	(10, 0.08262825929391623)	(12, 0.0828122183127524)	(14, 0.08327211585984284)	(16, 0.08348673471515172)	(18, 0.08388531258929677)	(20, 0.08409993144460565)	(22, 0.084467849482278)	(24, 0.08489708719289575)	(26, 0.0853876445764589)	(28, 0.08581688228707662)	(30, 0.08639941918005786)	(32, 0.0868286568906756)	(34, 0.08762581263896571)	(36, 0.08860692740609198)	(38, 0.08980266102852713)	(40, 0.0908757553050715)	(42, 0.0915809315439435)	(44, 0.09225544794634283)	(46, 0.09277666516637867)	(48, 0.09323656271346911)	(50, 0.09378843976997764)	(52, 0.0942176774805954)	(54, 0.09483087421004932)	(56, 0.09559737012186673)	(58, 0.09602660783248446)	(60, 0.096578484888993)	(62, 0.09697706276313806)	(64, 0.09746762014670118)	(66, 0.09783553818437354)	(68, 0.09860203409619095)	(70, 0.09921523082564487)	(72, 0.09995106690098957)	(74, 0.10080954232222507)	(76, 0.10191329643524213)	(78, 0.10271045218353222)	(80, 0.10317034973062267)	(82, 0.1038142062965493)	(84, 0.10442740302600322)	(86, 0.10522455877429332)	(88, 0.10565379648491106)	(90, 0.10608303419552881)	(92, 0.10675755059792813)	(94, 0.10740140716385474)	(96, 0.10786130471094518)	(98, 0.10847450144039911)	(100, 0.10945561620752539)	(102, 0.11055937032054246)	(104, 0.1109579481946875)	(106, 0.11154048508766873)	(108, 0.11209236214417727)	(110, 0.1126135793642131)	(112, 0.11307347691130354)	(114, 0.11368667364075746)	(116, 0.11445316955257487)	(118, 0.11537296464675575)	(120, 0.11598616137620968)	(122, 0.11684463679744518)	(124, 0.11816300976577111)	(126, 0.11926676387878818)	(128, 0.12049315733769603)	(130, 0.12217944834369432)	(132, 0.12432563689678305)	(134, 0.1263185262675083)	(136, 0.12818877629234277)	(138, 0.13018166566306802)
SRR16683554_2 - polyg	(1, 0.0684627515415923)	(2, 0.0684627515415923)	(3, 0.06886745746203521)	(4, 0.06933961436921861)	(5, 0.07028392818358539)	(6, 0.07048628114380685)	(7, 0.07082353607750928)	(8, 0.07082353607750928)	(9, 0.07082353607750928)	(10, 0.07105961453110098)	(12, 0.07156549693165462)	(14, 0.07197020285209751)	(16, 0.07224000679905947)	(18, 0.07254353623939164)	(20, 0.07277961469298334)	(22, 0.07294824215983456)	(24, 0.07338667357364771)	(26, 0.07372392850735013)	(28, 0.07419608541453353)	(30, 0.07453334034823596)	(32, 0.07480314429519788)	(34, 0.07547765416260274)	(36, 0.07625334051011833)	(38, 0.07709647784437439)	(40, 0.07773726221840899)	(42, 0.0783780465924436)	(44, 0.07888392899299723)	(46, 0.07959216435377234)	(48, 0.08026667422117717)	(50, 0.08087373310184155)	(52, 0.08141334099576543)	(54, 0.08218902734328101)	(56, 0.08282981171731561)	(58, 0.08330196862449901)	(60, 0.0837066745449419)	(62, 0.08404392947864434)	(64, 0.08475216483941944)	(66, 0.08539294921345406)	(68, 0.08600000809411841)	(70, 0.08637098852119107)	(72, 0.08711294937533641)	(74, 0.08775373374937102)	(76, 0.08859687108362709)	(78, 0.08930510644440218)	(80, 0.09001334180517727)	(82, 0.09055294969910115)	(84, 0.09122745956650599)	(86, 0.09176706746042987)	(88, 0.09264393028805618)	(90, 0.0932172636753503)	(92, 0.0939254990361254)	(94, 0.09456628341016)	(96, 0.09513961679745413)	(98, 0.09571295018474826)	(100, 0.09608393061182091)	(102, 0.09638746005215311)	(104, 0.0966235385057448)	(106, 0.0972643228797794)	(108, 0.09800628373392475)	(110, 0.0983772641609974)	(112, 0.09881569557481057)	(114, 0.0993215779753642)	(116, 0.09992863685602857)	(118, 0.10056942123006318)	(120, 0.101378833070949)	(122, 0.10222197040520506)	(124, 0.10293020576598015)	(126, 0.10363844112675524)	(128, 0.104717656914603)	(130, 0.10610040214278295)	(132, 0.1078204023046653)	(134, 0.10943922598643696)	(136, 0.11129412812180028)	(138, 0.11257569686986951)
SRR16683555_2 - polyg	(1, 0.08337236936538156)	(2, 0.08355654985735221)	(3, 0.08374073034932286)	(4, 0.08398630433861706)	(5, 0.08453884581452902)	(6, 0.08478441980382322)	(7, 0.08533696127973517)	(8, 0.08545974827438227)	(9, 0.08564392876635292)	(10, 0.08598159300163245)	(12, 0.08631925723691199)	(14, 0.08733224994275057)	(16, 0.08770061092669187)	(18, 0.08819175890528028)	(20, 0.08874430038119221)	(22, 0.08895917762182465)	(24, 0.08966520284104548)	(26, 0.09040192480892809)	(28, 0.09070889229554585)	(30, 0.09129213052011957)	(32, 0.09190606549335507)	(34, 0.09255069721525236)	(36, 0.09337950942912028)	(38, 0.09383996065904691)	(40, 0.0944845923809442)	(42, 0.09500643710819437)	(44, 0.09577385582473875)	(46, 0.09644918429529781)	(48, 0.09697102902254798)	(50, 0.09773844773909238)	(52, 0.09816820222035723)	(54, 0.09847516970697498)	(56, 0.09930398192084292)	(58, 0.09982582664809309)	(60, 0.10037836812400504)	(62, 0.10090021285125522)	(64, 0.10129927058385829)	(66, 0.10179041856244671)	(68, 0.10252714053032931)	(70, 0.10323316574955013)	(72, 0.10433824870137404)	(74, 0.10565820889383039)	(76, 0.10670189834833074)	(78, 0.10783767804881642)	(80, 0.10878927725733145)	(82, 0.10961808947119939)	(84, 0.11026272119309667)	(86, 0.11087665616633217)	(88, 0.11210452611280318)	(90, 0.11241149359942093)	(92, 0.11339378955659775)	(94, 0.1139463310325097)	(96, 0.11471374974905407)	(98, 0.11520489772764247)	(100, 0.11566534895756911)	(102, 0.11640207092545171)	(104, 0.11689321890404013)	(106, 0.11759924412326095)	(108, 0.11848944983445243)	(110, 0.11944104904296746)	(112, 0.12002428726754119)	(114, 0.12039264825148249)	(116, 0.12140564095732109)	(118, 0.12235724016583611)	(120, 0.12333953612301292)	(122, 0.12453670932082217)	(124, 0.12579527601595494)	(126, 0.12720732645439659)	(128, 0.12834310615488229)	(130, 0.12966306634733862)	(132, 0.13187323225098643)	(134, 0.134390365641252)	(136, 0.13730655676412065)	(138, 0.13917905843248896)
