Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
SRR16683517_1	(1, 0.02355377304711405)	(2, 0.011776886523557024)	(3, 0.007875341294893961)	(4, 0.008959103858411479)	(5, 0.010187368097064666)	(6, 0.007730839619758292)	(7, 0.007803090457326126)	(8, 0.007875341294893961)	(9, 0.007875341294893961)	(10, 0.008323296487814534)	(15, 0.00881460218327581)	(20, 0.00965271189906269)	(25, 0.00923365704116925)	(30, 0.02028803518904793)	(35, 0.011899592883551855)	(40, 0.017126292144721365)	(45, 0.009297325271203414)	(50, 0.0009598757397224215)	(55, 0.006304454359690719)	(60, 0.012004717458201156)	(65, 0.0016207135441852188)	(70, 0.0003855259901604871)	(75, 0.0002837839573642982)	(80, 0.0015969317216777002)	(85, 0.001110607365304626)	(90, 0.0016768459420097445)	(95, 0.005093288960973725)	(100, 0.006081234872928254)	(105, 0.005149410713308884)	(110, 0.007390149827538699)	(115, 0.01226160686530359)	(120, 0.009097896928790573)	(125, 0.019067106352062872)	(130, 0.013725716669016192)	(135, 0.0067008239659134515)	(140, 0.004138366180455035)	(145, 0.006600485795754568)
SRR16683517_2	(1, 0.02550454566144558)	(2, 0.022397759646028696)	(3, 0.02210875629575736)	(4, 0.02131399708251118)	(5, 0.017412451853848113)	(6, 0.015678431752220088)	(7, 0.014666920026270406)	(8, 0.014955923376541743)	(9, 0.012210391548964031)	(10, 0.01333750461502225)	(15, 0.016632142808115504)	(20, 0.019681128153478118)	(25, 0.018380613077257097)	(30, 0.028148926316428322)	(35, 0.017870772626082564)	(40, 0.010263816269292427)	(45, 0.007135753504387401)	(50, 0.012273783910145433)	(55, 0.011790453293315835)	(60, 0.010933267206119347)	(65, 0.013199394831317332)	(70, 0.01174160638221538)	(75, 0.012782543107857336)	(80, 0.016597997847682493)	(85, 0.02474560092570145)	(90, 0.021976487465251313)	(95, 0.006259009002696979)	(100, 0.027976771070124123)	(105, 0.06100555431121683)	(110, 0.07929943901842162)	(115, 0.048130537855024975)	(120, 0.01862108180698301)	(125, 0.012169986358897392)	(130, 0.0180597916939095)	(135, 0.028276281157051678)	(140, 0.03449577227526032)	(145, 0.03196374672293418)
SRR16683518_1	(1, 0.025401615378478203)	(2, 0.01050089873613764)	(3, 0.008095664947413376)	(4, 0.009151621244902078)	(5, 0.010442234497388268)	(6, 0.008037000708664003)	(7, 0.007743679514917143)	(8, 0.00791967223116526)	(9, 0.007861007992415887)	(10, 0.008142596338412874)	(15, 0.008834834355655467)	(20, 0.009656133698146678)	(25, 0.010583028670386761)	(30, 0.031760818858910154)	(35, 0.016629244993522696)	(40, 0.01756576189462684)	(45, 0.010885793402737442)	(50, 0.0011361141700064676)	(55, 0.006133478032698808)	(60, 0.01196602223480587)	(65, 0.002057735980199526)	(70, 0.0006430044272674641)	(75, 0.00044080697062756223)	(80, 0.0017201784480946054)	(85, 0.001202293826333917)	(90, 0.0017137795236606941)	(95, 0.005103544605044287)	(100, 0.005726495748895913)	(105, 0.005272728194999638)	(110, 0.008511166787003217)	(115, 0.013013189389365484)	(120, 0.008944434268805316)	(125, 0.01886802923434647)	(130, 0.013702680028328867)	(135, 0.007185995143130836)	(140, 0.0041608548365093725)	(145, 0.008316363716167126)
SRR16683518_2	(1, 0.028217498838448072)	(2, 0.024697644513485734)	(3, 0.024580316035986993)	(4, 0.02405233788724264)	(5, 0.019593855742290344)	(6, 0.017775264341059804)	(7, 0.015722015984831774)	(8, 0.016719308043571104)	(9, 0.012495482853616298)	(10, 0.015064976510838804)	(15, 0.019194938918794615)	(20, 0.022597464766258207)	(25, 0.022515334832009085)	(30, 0.042214786204048296)	(35, 0.0231938017706207)	(40, 0.011059269803475599)	(45, 0.008644750749310013)	(50, 0.014390363947215294)	(55, 0.014168198385205739)	(60, 0.012945491353117023)	(65, 0.01570274475555399)	(70, 0.013004795639705533)	(75, 0.014643315883381905)	(80, 0.018944756051927688)	(85, 0.02771249333798172)	(90, 0.025043690005574857)	(95, 0.007306533432609406)	(100, 0.030489286887418535)	(105, 0.06447687314258625)	(110, 0.0854923708372847)	(115, 0.05220988205603962)	(120, 0.019408857188546583)	(125, 0.013666352360030125)	(130, 0.02117983206326789)	(135, 0.03280958261832187)	(140, 0.040474952689242234)	(145, 0.038107805055866424)
SRR16683519_1	(1, 0.023825949458426546)	(2, 0.011092366018649888)	(3, 0.008319274513987417)	(4, 0.009620929710053475)	(5, 0.011035772314473105)	(6, 0.007979712288926705)	(7, 0.007979712288926705)	(8, 0.007979712288926705)	(9, 0.00803630599310349)	(10, 0.008398505699834916)	(15, 0.00903235518661491)	(20, 0.009700160895900976)	(25, 0.010956541128625605)	(30, 0.043973308145362065)	(35, 0.022717034397716326)	(40, 0.017763271990151732)	(45, 0.01028958148469182)	(50, 0.000987818475260833)	(55, 0.0056794988252922545)	(60, 0.011358037200431768)	(65, 0.001910937795082119)	(70, 0.00035836959038116907)	(75, 0.00047256488224955425)	(80, 0.001564172517636661)	(85, 0.0010536376841043704)	(90, 0.002086494009074073)	(95, 0.005077993663763267)	(100, 0.00556550417365875)	(105, 0.004668718607515425)	(110, 0.00820154670688777)	(115, 0.013253332636608946)	(120, 0.00968354097726657)	(125, 0.02059459378681498)	(130, 0.014173522571334696)	(135, 0.007628782444652515)	(140, 0.0041388291442840865)	(145, 0.008264279396052381)
SRR16683519_2	(1, 0.026429259850558662)	(2, 0.023995730570956903)	(3, 0.02359957464171941)	(4, 0.02320341871248191)	(5, 0.017827016815687324)	(6, 0.015563268648615916)	(7, 0.013186333073190941)	(8, 0.014205019748373071)	(9, 0.010809397497765964)	(10, 0.013537214039087007)	(15, 0.01756668577647411)	(20, 0.02148297010550764)	(25, 0.021358463956318716)	(30, 0.05282456347861125)	(35, 0.029846208709674603)	(40, 0.01196278754328124)	(45, 0.009363762058127494)	(50, 0.014252862315856981)	(55, 0.013890315315940484)	(60, 0.013340361046425858)	(65, 0.016169172711531347)	(70, 0.013710728704927323)	(75, 0.015929830248579246)	(80, 0.02063631511259166)	(85, 0.029128460901279473)	(90, 0.026397469630434142)	(95, 0.008490167039130773)	(100, 0.031366770847240606)	(105, 0.0653157614434384)	(110, 0.08681173702612606)	(115, 0.05369510109878761)	(120, 0.021128947983058314)	(125, 0.015399184185442265)	(130, 0.023754987581742264)	(135, 0.036545872910100655)	(140, 0.04365723378561166)	(145, 0.04170632918873169)
SRR16683520_1	(1, 0.026084935804333933)	(2, 0.011851507581479114)	(3, 0.008830535060709929)	(4, 0.010457212571893337)	(5, 0.011619125079881484)	(6, 0.008772439435310522)	(7, 0.0085981525591123)	(8, 0.008714343809911113)	(9, 0.008656248184511706)	(10, 0.008969964561668507)	(15, 0.009574159065822345)	(20, 0.010515308197292744)	(25, 0.010933596700168477)	(30, 0.0361470981235113)	(35, 0.019020937107475044)	(40, 0.018873589642435296)	(45, 0.010256983091082361)	(50, 0.0009180933602075738)	(55, 0.005733531969416108)	(60, 0.011464894671654373)	(65, 0.00194069080154749)	(70, 0.00045100028205801427)	(75, 0.00040731432854047796)	(80, 0.0016651234019197246)	(85, 0.001055680265736345)	(90, 0.0018640407510375522)	(95, 0.004961132953877033)	(100, 0.005604284691195831)	(105, 0.005248507894665064)	(110, 0.00849475963640171)	(115, 0.013868091576885974)	(120, 0.010618363522798251)	(125, 0.019922360937483265)	(130, 0.014435483553240695)	(135, 0.007361987118960286)	(140, 0.004292863148553523)	(145, 0.008186392342424166)
SRR16683520_2	(1, 0.027363039563120896)	(2, 0.024283971416952304)	(3, 0.024109684540754083)	(4, 0.022424911404171268)	(5, 0.0195782257596003)	(6, 0.017254400743624006)	(7, 0.015918201359437632)	(8, 0.01620867948643467)	(9, 0.012548655086272004)	(10, 0.013757044094579677)	(15, 0.018730029628768952)	(20, 0.021692906524138734)	(25, 0.020995759019345844)	(30, 0.04529134956137803)	(35, 0.02583771009717003)	(40, 0.01122108238420706)	(45, 0.008429914394219326)	(50, 0.01328777904483113)	(55, 0.013408422076279946)	(60, 0.012645525036467832)	(65, 0.01494444943262313)	(70, 0.012881303963310341)	(75, 0.014338927324837415)	(80, 0.018911893979246478)	(85, 0.027350148270608544)	(90, 0.024132863512417297)	(95, 0.0074912304464707395)	(100, 0.031131481225643187)	(105, 0.06769588645264468)	(110, 0.0894483267747765)	(115, 0.055158163466056245)	(120, 0.021606485274229245)	(125, 0.014340770964739439)	(130, 0.02234249485839204)	(135, 0.033574486247854717)	(140, 0.040452877924939894)	(145, 0.03818326544180661)
SRR16683521_1	(1, 0.023704516563767992)	(2, 0.012389560657329404)	(3, 0.009228958448827006)	(4, 0.010429987288057918)	(5, 0.012073500436479164)	(6, 0.009039322316316862)	(7, 0.009039322316316862)	(8, 0.009039322316316862)	(9, 0.008976110272146814)	(10, 0.009254243266495025)	(15, 0.009772582028689419)	(20, 0.010733405100074147)	(25, 0.01161837371845482)	(30, 0.036132004447599425)	(35, 0.018060988934701615)	(40, 0.016910685447295876)	(45, 0.009902017122344004)	(50, 0.000984523167939834)	(55, 0.005336573855288834)	(60, 0.009949878781196854)	(65, 0.0016337699463705214)	(70, 0.00039628056346869135)	(75, 0.0002942435266424139)	(80, 0.001777610359750342)	(85, 0.0013378505789169092)	(90, 0.0016995112430393776)	(95, 0.0049150738292810005)	(100, 0.006079647187086419)	(105, 0.005838006865436043)	(110, 0.00853135233484172)	(115, 0.014090817694900549)	(120, 0.009056775885519746)	(125, 0.01991311769072309)	(130, 0.014900351301770923)	(135, 0.008487971702463284)	(140, 0.0049816014089228075)	(145, 0.008669644220319754)
SRR16683521_2	(1, 0.022503487724537082)	(2, 0.021492095017816317)	(3, 0.019279673471864635)	(4, 0.01915324938352454)	(5, 0.014538770159111036)	(6, 0.01346416540822022)	(7, 0.011883864303969021)	(8, 0.013274529275710076)	(9, 0.009987502978867581)	(10, 0.012288421386657328)	(15, 0.01656155557255257)	(20, 0.019810654642893038)	(25, 0.019873866687063084)	(30, 0.04263020258828036)	(35, 0.024274489549123503)	(40, 0.010706619100862187)	(45, 0.008310587395626085)	(50, 0.013450019497414197)	(55, 0.01361687463796022)	(60, 0.012280745617438452)	(65, 0.014832919253116124)	(70, 0.012441355912325158)	(75, 0.014482218563556479)	(80, 0.018938908318454215)	(85, 0.028404280607818515)	(90, 0.024712902072598082)	(95, 0.007105084776840174)	(100, 0.027560981967619802)	(105, 0.06378551744725919)	(110, 0.08594860384312164)	(115, 0.04968429900201016)	(120, 0.017988650707938873)	(125, 0.012701783434424652)	(130, 0.021383537377297885)	(135, 0.03263925994772708)	(140, 0.04121100013564285)	(145, 0.038430678301472024)
