Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
SRR16683517_1	(1, 31.37144444596974)	(2, 31.418296224098977)	(3, 31.512435452907987)	(4, 31.608616490386666)	(5, 31.614783821881456)	(6, 35.22064394281491)	(7, 35.21295428617256)	(8, 35.16278474958221)	(9, 35.227468756931565)	(10, 35.192590243102394)	(15, 35.158912249190244)	(20, 35.08061401651799)	(25, 34.99808665331953)	(30, 34.939269847485704)	(35, 34.896034526133384)	(40, 34.84496173466198)	(45, 34.74393040616223)	(50, 34.6344424593938)	(55, 34.510323766427625)	(60, 34.372261852188394)	(65, 34.2886811657695)	(70, 34.23261757419706)	(75, 34.16595532523214)	(80, 34.09130112644262)	(85, 34.01279529732975)	(90, 33.96023591219698)	(95, 33.83876187865501)	(100, 33.71994894206134)	(105, 33.59046652166105)	(110, 33.358986537814985)	(115, 33.12348101844754)	(120, 32.831580694813155)	(125, 32.52950385352542)	(130, 32.42184035899326)	(135, 32.37711258170036)	(140, 32.383631544566235)	(145, 31.241881632517497)
SRR16683517_2	(1, 31.41559259775719)	(2, 31.24344197210106)	(3, 31.273484592870144)	(4, 31.338704701434253)	(5, 31.33071375879925)	(6, 35.00141178136607)	(7, 34.99701026034144)	(8, 34.940669057206044)	(9, 35.01324863608481)	(10, 34.9389136508565)	(15, 34.852426941759326)	(20, 34.788294786307304)	(25, 34.73520891690937)	(30, 34.702358773094076)	(35, 34.64066182714062)	(40, 34.52640864817073)	(45, 34.42081277888477)	(50, 34.29794029654765)	(55, 34.16923871951565)	(60, 34.06482052742244)	(65, 33.99332166856572)	(70, 33.952511385953585)	(75, 33.86098799746355)	(80, 33.76913049932524)	(85, 33.69527545855649)	(90, 33.57732052610262)	(95, 33.3902561378586)	(100, 33.21441666843544)	(105, 32.918970032668305)	(110, 32.56136491940169)	(115, 32.18887367760255)	(120, 31.703437542236134)	(125, 31.383329671506914)	(130, 31.245324350905474)	(135, 31.134050142182883)	(140, 31.104265501822017)	(145, 30.07272175974625)
SRR16683518_1	(1, 31.43276608925412)	(2, 31.475448429441002)	(3, 31.549434594066934)	(4, 31.62595446716445)	(5, 31.632313670644884)	(6, 35.26229837101142)	(7, 35.245724550279945)	(8, 35.2047340867386)	(9, 35.258395439207426)	(10, 35.233811134003204)	(15, 35.197962708316716)	(20, 35.12402312309635)	(25, 35.047298394477124)	(30, 34.9854859980195)	(35, 34.948879085874395)	(40, 34.8967373935579)	(45, 34.805392163875624)	(50, 34.697301415249406)	(55, 34.57657809934105)	(60, 34.43786190584113)	(65, 34.35531682432519)	(70, 34.302983470431776)	(75, 34.24173099401766)	(80, 34.16689966567073)	(85, 34.09188945446921)	(90, 34.039541144024774)	(95, 33.92087210379542)	(100, 33.802879017508204)	(105, 33.67189744224485)	(110, 33.443405282936666)	(115, 33.21128498353453)	(120, 32.923225473157686)	(125, 32.619717704959065)	(130, 32.502674109892055)	(135, 32.459750126487435)	(140, 32.4612395363853)	(145, 31.317030253887015)
SRR16683518_2	(1, 31.539123180821957)	(2, 31.42463463912107)	(3, 31.438079896000037)	(4, 31.480465981781233)	(5, 31.477416028008655)	(6, 35.19207493065887)	(7, 35.186029580855745)	(8, 35.152227833130745)	(9, 35.20529902335775)	(10, 35.15309465592251)	(15, 35.07867942105436)	(20, 35.02287482928706)	(25, 34.97565105572164)	(30, 34.94234185294518)	(35, 34.887805889305994)	(40, 34.79276876398986)	(45, 34.695918829975554)	(50, 34.58205324727745)	(55, 34.4639567798372)	(60, 34.36517575117695)	(65, 34.309350818726756)	(70, 34.26920616989825)	(75, 34.19164132085719)	(80, 34.09816912389322)	(85, 34.027805377698016)	(90, 33.91671662710766)	(95, 33.74375232398197)	(100, 33.579903518619226)	(105, 33.29139948089373)	(110, 32.944724902803515)	(115, 32.5862304626826)	(120, 32.106901892022115)	(125, 31.79323799105082)	(130, 31.654607344959754)	(135, 31.544864522571242)	(140, 31.507328123670863)	(145, 30.460554768374625)
SRR16683519_1	(1, 31.395973697510048)	(2, 31.41898865918762)	(3, 31.500424735749846)	(4, 31.591077097037264)	(5, 31.59769573074074)	(6, 35.20295068254837)	(7, 35.18904957099142)	(8, 35.13990133453614)	(9, 35.20069598937397)	(10, 35.175383662869045)	(15, 35.141286295664756)	(20, 35.06436492525953)	(25, 34.978180523729456)	(30, 34.914667786467426)	(35, 34.87407813602066)	(40, 34.82501501404853)	(45, 34.726923038338676)	(50, 34.61983196512861)	(55, 34.49750254234068)	(60, 34.35510795901709)	(65, 34.27743005770946)	(70, 34.223609374720404)	(75, 34.155873117701155)	(80, 34.08061134844841)	(85, 34.00669498857433)	(90, 33.951381009787)	(95, 33.82935224063763)	(100, 33.71377865398709)	(105, 33.5759866855923)	(110, 33.34129838299503)	(115, 33.102865452636756)	(120, 32.806873579648666)	(125, 32.49825948812582)	(130, 32.3821873252527)	(135, 32.334509714950116)	(140, 32.33686439365721)	(145, 31.191450781478796)
SRR16683519_2	(1, 31.475711397009928)	(2, 31.32550774456545)	(3, 31.35527433515131)	(4, 31.39877621774088)	(5, 31.392052319747638)	(6, 35.08315935485441)	(7, 35.076823123734776)	(8, 35.02802124074905)	(9, 35.09903841637233)	(10, 35.03880675570365)	(15, 34.959121009224205)	(20, 34.900670352425976)	(25, 34.85089166210615)	(30, 34.81474254675065)	(35, 34.755860882195655)	(40, 34.6541931897937)	(45, 34.55653936390189)	(50, 34.439083210879495)	(55, 34.31612784795594)	(60, 34.21616610448014)	(65, 34.15693553026127)	(70, 34.11449494512404)	(75, 34.02870079642886)	(80, 33.93735647464872)	(85, 33.86796112030436)	(90, 33.75408680048206)	(95, 33.57397984475002)	(100, 33.402282532588686)	(105, 33.10781503736805)	(110, 32.7495849998972)	(115, 32.38814367522662)	(120, 31.894275983204835)	(125, 31.578039568960833)	(130, 31.43336829183384)	(135, 31.32340301174049)	(140, 31.28912322083587)	(145, 30.24804259379298)
SRR16683520_1	(1, 31.402039737407772)	(2, 31.456152326729796)	(3, 31.531999070469993)	(4, 31.62125660837739)	(5, 31.619271480857492)	(6, 35.23407366525301)	(7, 35.233478185092665)	(8, 35.17926392842619)	(9, 35.24625806076802)	(10, 35.22122395863592)	(15, 35.18364433858131)	(20, 35.11459280776158)	(25, 35.03233788415732)	(30, 34.97342520188231)	(35, 34.934777779787275)	(40, 34.88553122650758)	(45, 34.792648963527355)	(50, 34.69163615690731)	(55, 34.57343263019585)	(60, 34.43724804907835)	(65, 34.35950643909964)	(70, 34.306793941603935)	(75, 34.243925466067466)	(80, 34.172210355600136)	(85, 34.10066656554464)	(90, 34.04826828130273)	(95, 33.929534545400266)	(100, 33.814473725384616)	(105, 33.6824191275937)	(110, 33.4608278846503)	(115, 33.226067364592936)	(120, 32.93910200608006)	(125, 32.64237036071682)	(130, 32.52376841294004)	(135, 32.481250952618566)	(140, 32.486545326966066)	(145, 31.33362627586278)
SRR16683520_2	(1, 31.490831348399464)	(2, 31.347029570673328)	(3, 31.375545227444373)	(4, 31.418736420147564)	(5, 31.41092488235636)	(6, 35.10500145239064)	(7, 35.10088131063731)	(8, 35.05750130715157)	(9, 35.133440422936154)	(10, 35.06814628478476)	(15, 34.9892504502411)	(20, 34.9338474408877)	(25, 34.88519363271946)	(30, 34.852917329925056)	(35, 34.79575248874899)	(40, 34.696716111122186)	(45, 34.59882743511373)	(50, 34.486315983872764)	(55, 34.3654774343092)	(60, 34.267110036985784)	(65, 34.20867022620493)	(70, 34.16685822528292)	(75, 34.08229186725273)	(80, 33.993487287509865)	(85, 33.91995172147939)	(90, 33.810336949993726)	(95, 33.63207783401743)	(100, 33.460408913182604)	(105, 33.17374042418963)	(110, 32.82532372330871)	(115, 32.46347108328221)	(120, 31.979602514389303)	(125, 31.66699795006237)	(130, 31.51845757585203)	(135, 31.408980649559805)	(140, 31.37840798695824)	(145, 30.33399613562147)
SRR16683521_1	(1, 31.357854760214593)	(2, 31.38956571429294)	(3, 31.48037613694763)	(4, 31.57696414043946)	(5, 31.58356158148949)	(6, 35.18423213485405)	(7, 35.16561745208685)	(8, 35.11743343929779)	(9, 35.18267648644702)	(10, 35.15099650627032)	(15, 35.11401075995416)	(20, 35.034020975020496)	(25, 34.943858602242635)	(30, 34.88321094428048)	(35, 34.84246440075284)	(40, 34.789221074557176)	(45, 34.68625136379489)	(50, 34.57519922649169)	(55, 34.45126318591741)	(60, 34.30757826767669)	(65, 34.22121255985694)	(70, 34.171689218980546)	(75, 34.10553108405763)	(80, 34.02672516849707)	(85, 33.952239154007515)	(90, 33.897598403094264)	(95, 33.77770598078758)	(100, 33.65430764389725)	(105, 33.51471994726539)	(110, 33.28575859779643)	(115, 33.04065220124785)	(120, 32.74877749849749)	(125, 32.43178446277019)	(130, 32.31715872170577)	(135, 32.26775241519956)	(140, 32.271322912852796)	(145, 31.134374169173963)
SRR16683521_2	(1, 31.483496283447863)	(2, 31.335155315153127)	(3, 31.355256113078763)	(4, 31.403682860117435)	(5, 31.397452681044037)	(6, 35.08915110649523)	(7, 35.07843034380399)	(8, 35.03807703904671)	(9, 35.088217464602835)	(10, 35.02805021817637)	(15, 34.94743653036675)	(20, 34.88492373782931)	(25, 34.833764586969345)	(30, 34.8012675279097)	(35, 34.74109889710526)	(40, 34.63279727190718)	(45, 34.52913494481488)	(50, 34.4057450535446)	(55, 34.27951973441597)	(60, 34.178907165835305)	(65, 34.11599582521345)	(70, 34.073832848654455)	(75, 33.98784974569244)	(80, 33.89326817178068)	(85, 33.824803517599044)	(90, 33.702795319280035)	(95, 33.517228960339395)	(100, 33.34169664558954)	(105, 33.040716496004876)	(110, 32.68333837360908)	(115, 32.31831297880925)	(120, 31.821332312021173)	(125, 31.497034697241123)	(130, 31.35599347973822)	(135, 31.24455572681338)	(140, 31.21619756912413)	(145, 30.18671832627419)
