Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
SRR16683517_1	(2.0, 107.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 10.0)	(17.0, 15.0)	(18.0, 49.0)	(19.0, 141.0)	(20.0, 269.0)	(21.0, 645.0)	(22.0, 1293.0)	(23.0, 2677.0)	(24.0, 4597.0)	(25.0, 7874.0)	(26.0, 12156.0)	(27.0, 17716.0)	(28.0, 23952.0)	(29.0, 31990.0)	(30.0, 41722.0)	(31.0, 55361.0)	(32.0, 79657.0)	(33.0, 134093.0)	(34.0, 330988.0)	(35.0, 638754.0)
SRR16683517_2	(2.0, 87.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 1.0)	(7.0, 3.0)	(8.0, 9.0)	(9.0, 14.0)	(10.0, 15.0)	(11.0, 13.0)	(12.0, 6.0)	(13.0, 13.0)	(14.0, 25.0)	(15.0, 83.0)	(16.0, 126.0)	(17.0, 219.0)	(18.0, 346.0)	(19.0, 622.0)	(20.0, 1188.0)	(21.0, 2172.0)	(22.0, 3522.0)	(23.0, 6013.0)	(24.0, 9178.0)	(25.0, 13648.0)	(26.0, 18372.0)	(27.0, 23617.0)	(28.0, 30230.0)	(29.0, 38308.0)	(30.0, 49148.0)	(31.0, 64992.0)	(32.0, 94271.0)	(33.0, 165358.0)	(34.0, 394783.0)	(35.0, 467685.0)
SRR16683518_1	(2.0, 131.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 2.0)	(16.0, 6.0)	(17.0, 17.0)	(18.0, 66.0)	(19.0, 131.0)	(20.0, 333.0)	(21.0, 749.0)	(22.0, 1486.0)	(23.0, 2882.0)	(24.0, 5199.0)	(25.0, 9013.0)	(26.0, 13881.0)	(27.0, 20298.0)	(28.0, 27887.0)	(29.0, 36913.0)	(30.0, 48798.0)	(31.0, 64539.0)	(32.0, 92742.0)	(33.0, 157607.0)	(34.0, 396312.0)	(35.0, 825624.0)
SRR16683518_2	(2.0, 119.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 1.0)	(6.0, 1.0)	(7.0, 4.0)	(8.0, 11.0)	(9.0, 17.0)	(10.0, 30.0)	(11.0, 25.0)	(12.0, 12.0)	(13.0, 11.0)	(14.0, 25.0)	(15.0, 90.0)	(16.0, 133.0)	(17.0, 206.0)	(18.0, 327.0)	(19.0, 615.0)	(20.0, 1167.0)	(21.0, 1850.0)	(22.0, 3024.0)	(23.0, 4910.0)	(24.0, 7811.0)	(25.0, 11573.0)	(26.0, 16616.0)	(27.0, 22807.0)	(28.0, 29767.0)	(29.0, 39199.0)	(30.0, 50927.0)	(31.0, 68463.0)	(32.0, 101081.0)	(33.0, 181664.0)	(34.0, 473850.0)	(35.0, 688280.0)
SRR16683519_1	(2.0, 139.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 6.0)	(17.0, 21.0)	(18.0, 48.0)	(19.0, 152.0)	(20.0, 336.0)	(21.0, 864.0)	(22.0, 1900.0)	(23.0, 3594.0)	(24.0, 6191.0)	(25.0, 9932.0)	(26.0, 15384.0)	(27.0, 21773.0)	(28.0, 30123.0)	(29.0, 39863.0)	(30.0, 51913.0)	(31.0, 69183.0)	(32.0, 98678.0)	(33.0, 164459.0)	(34.0, 401904.0)	(35.0, 850517.0)
SRR16683519_2	(2.0, 91.0)	(3.0, 0.0)	(4.0, 1.0)	(5.0, 0.0)	(6.0, 1.0)	(7.0, 2.0)	(8.0, 13.0)	(9.0, 28.0)	(10.0, 34.0)	(11.0, 18.0)	(12.0, 20.0)	(13.0, 15.0)	(14.0, 28.0)	(15.0, 92.0)	(16.0, 156.0)	(17.0, 174.0)	(18.0, 354.0)	(19.0, 730.0)	(20.0, 1398.0)	(21.0, 2274.0)	(22.0, 3856.0)	(23.0, 6081.0)	(24.0, 9582.0)	(25.0, 13697.0)	(26.0, 19135.0)	(27.0, 25822.0)	(28.0, 33416.0)	(29.0, 43093.0)	(30.0, 56425.0)	(31.0, 75261.0)	(32.0, 109356.0)	(33.0, 191220.0)	(34.0, 475822.0)	(35.0, 698786.0)
SRR16683520_1	(2.0, 146.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 8.0)	(17.0, 20.0)	(18.0, 51.0)	(19.0, 130.0)	(20.0, 421.0)	(21.0, 992.0)	(22.0, 2007.0)	(23.0, 3531.0)	(24.0, 5918.0)	(25.0, 9282.0)	(26.0, 14020.0)	(27.0, 19979.0)	(28.0, 27412.0)	(29.0, 35871.0)	(30.0, 46692.0)	(31.0, 63235.0)	(32.0, 91242.0)	(33.0, 154366.0)	(34.0, 387929.0)	(35.0, 858047.0)
SRR16683520_2	(2.0, 110.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 1.0)	(6.0, 1.0)	(7.0, 3.0)	(8.0, 9.0)	(9.0, 18.0)	(10.0, 26.0)	(11.0, 21.0)	(12.0, 15.0)	(13.0, 13.0)	(14.0, 25.0)	(15.0, 113.0)	(16.0, 137.0)	(17.0, 192.0)	(18.0, 351.0)	(19.0, 718.0)	(20.0, 1492.0)	(21.0, 2521.0)	(22.0, 4130.0)	(23.0, 6214.0)	(24.0, 9588.0)	(25.0, 13515.0)	(26.0, 18100.0)	(27.0, 24355.0)	(28.0, 31085.0)	(29.0, 40257.0)	(30.0, 51930.0)	(31.0, 70567.0)	(32.0, 103794.0)	(33.0, 183565.0)	(34.0, 462730.0)	(35.0, 695704.0)
SRR16683521_1	(2.0, 140.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 4.0)	(17.0, 23.0)	(18.0, 61.0)	(19.0, 157.0)	(20.0, 354.0)	(21.0, 793.0)	(22.0, 1705.0)	(23.0, 3201.0)	(24.0, 5498.0)	(25.0, 9082.0)	(26.0, 14203.0)	(27.0, 20638.0)	(28.0, 28376.0)	(29.0, 37497.0)	(30.0, 48486.0)	(31.0, 64694.0)	(32.0, 92267.0)	(33.0, 153706.0)	(34.0, 370203.0)	(35.0, 730889.0)
SRR16683521_2	(2.0, 74.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 1.0)	(6.0, 3.0)	(7.0, 4.0)	(8.0, 13.0)	(9.0, 17.0)	(10.0, 15.0)	(11.0, 19.0)	(12.0, 18.0)	(13.0, 12.0)	(14.0, 27.0)	(15.0, 124.0)	(16.0, 179.0)	(17.0, 233.0)	(18.0, 355.0)	(19.0, 753.0)	(20.0, 1238.0)	(21.0, 1922.0)	(22.0, 3242.0)	(23.0, 5516.0)	(24.0, 8555.0)	(25.0, 12598.0)	(26.0, 17855.0)	(27.0, 24104.0)	(28.0, 31087.0)	(29.0, 40651.0)	(30.0, 52540.0)	(31.0, 69655.0)	(32.0, 101889.0)	(33.0, 177182.0)	(34.0, 433344.0)	(35.0, 598752.0)
