Sample	Unique Reads	Duplicate Reads
SRR16683517_1	806649.0	577418.0
SRR16683517_2	819516.0	564551.0
SRR16683518_1	967323.0	737293.0
SRR16683518_2	973073.0	731543.0
SRR16683519_1	973956.0	793025.0
SRR16683519_2	981293.0	785688.0
SRR16683520_1	938344.0	782956.0
SRR16683520_2	946315.0	774985.0
SRR16683521_1	911298.0	670679.0
SRR16683521_2	922607.0	659370.0
SRR16683522_1	1060847.0	853451.0
SRR16683522_2	1069071.0	845227.0
SRR16683523_1	959938.0	710168.0
SRR16683523_2	968540.0	701566.0
SRR16683553_1	942536.0	688262.0
SRR16683553_2	953924.0	676874.0
SRR16683554_1	864368.0	618190.0
SRR16683554_2	874404.0	608154.0
SRR16683555_1	942790.0	686047.0
SRR16683555_2	950572.0	678265.0
SRR16683556_1	806115.0	555964.0
SRR16683556_2	810822.0	551257.0
SRR16683557_1	876155.0	613620.0
SRR16683557_2	892185.0	597590.0
SRR16683558_1	1017760.0	862333.0
SRR16683558_2	1033940.0	846153.0
SRR16683559_1	828330.0	568128.0
SRR16683559_2	846293.0	550165.0
SRR16683560_1	836011.0	612478.0
SRR16683560_2	842961.0	605528.0
SRR16683561_1	988913.0	741814.0
SRR16683561_2	994893.0	735834.0
SRR16683562_1	1059833.0	838340.0
SRR16683562_2	1072415.0	825758.0
SRR16683564_1	953144.0	783750.0
SRR16683564_2	966572.0	770322.0
SRR16683565_1	991894.0	740950.0
SRR16683565_2	1003420.0	729424.0
SRR16683566_1	945547.0	734179.0
SRR16683566_2	959149.0	720577.0
SRR16683567_1	1032214.0	881288.0
SRR16683567_2	1045380.0	868122.0
SRR16683568_1	1017810.0	812713.0
SRR16683568_2	1027464.0	803059.0
SRR16683569_1	937203.0	663837.0
SRR16683569_2	953932.0	647108.0
SRR16683570_1	988337.0	826003.0
SRR16683570_2	1006350.0	807990.0
SRR16683571_1	828109.0	607439.0
SRR16683571_2	841447.0	594101.0
SRR16683572_1	937143.0	680364.0
SRR16683572_2	949685.0	667822.0
SRR16683573_1	830362.0	634467.0
SRR16683573_2	838760.0	626069.0
SRR16683575_1	1025053.0	859239.0
SRR16683575_2	1037822.0	846470.0
SRR16683576_1	860341.0	604653.0
SRR16683576_2	868729.0	596265.0
SRR16683577_1	897070.0	670049.0
SRR16683577_2	910772.0	656347.0
SRR16683578_1	805434.0	564704.0
SRR16683578_2	815888.0	554250.0
SRR16683579_1	765919.0	463743.0
SRR16683579_2	766542.0	463120.0
SRR16683580_1	1077266.0	1063800.0
SRR16683580_2	1075037.0	1066029.0
SRR16683614_1	916354.0	697617.0
SRR16683614_2	921677.0	692294.0
SRR16683615_1	1036551.0	1154807.0
SRR16683615_2	1040209.0	1151149.0
SRR16683616_1	857098.0	592206.0
SRR16683616_2	860905.0	588399.0
SRR16683617_1	758220.0	507322.0
SRR16683617_2	765950.0	499592.0
SRR16683618_1	757360.0	551253.0
SRR16683618_2	761710.0	546903.0
SRR16683619_1	840459.0	615954.0
SRR16683619_2	849684.0	606729.0
SRR16683620_1	702348.0	445916.0
SRR16683620_2	703545.0	444719.0
SRR16683621_1	852874.0	579973.0
SRR16683621_2	852733.0	580114.0
SRR16683622_1	617090.0	336306.0
SRR16683622_2	619505.0	333891.0
SRR16683623_1	728437.0	461176.0
SRR16683623_2	737708.0	451905.0
SRR16683624_1	760337.0	521760.0
SRR16683624_2	761045.0	521052.0
SRR16683625_1	732912.0	594449.0
SRR16683625_2	736420.0	590941.0
SRR16683626_1	744556.0	499596.0
SRR16683626_2	750266.0	493886.0
SRR16683627_1	702002.0	516286.0
SRR16683627_2	703362.0	514926.0
SRR16683628_1	704307.0	508416.0
SRR16683628_2	709784.0	502939.0
SRR16683629_1	781279.0	609128.0
SRR16683629_2	781225.0	609182.0
SRR16683630_1	905469.0	667925.0
SRR16683630_2	917740.0	655654.0
SRR16683631_1	1100045.0	942221.0
SRR16683631_2	1099387.0	942879.0
SRR16683632_1	757709.0	462798.0
SRR16683632_2	758458.0	462049.0
SRR16683633_1	794638.0	570822.0
SRR16683633_2	793878.0	571582.0
SRR16683634_1	1117552.0	980654.0
SRR16683634_2	1118226.0	979980.0
SRR16683635_1	808522.0	650119.0
SRR16683635_2	811736.0	646905.0
SRR16683636_1	809564.0	607907.0
SRR16683636_2	812236.0	605235.0
SRR16683637_1	784380.0	577428.0
SRR16683637_2	787843.0	573965.0
SRR16683638_1	714236.0	444939.0
SRR16683638_2	716637.0	442538.0
SRR16683639_1	731737.0	489471.0
SRR16683639_2	733265.0	487943.0
SRR16683640_1	904601.0	729279.0
SRR16683640_2	907255.0	726625.0
SRR16683642_1	900108.0	659288.0
SRR16683642_2	909934.0	649462.0
SRR16683726_1	876590.0	622963.0
SRR16683726_2	879364.0	620189.0
SRR16683727_1	663375.0	369350.0
SRR16683727_2	667304.0	365421.0
SRR16683728_1	637514.0	430818.0
SRR16683728_2	642573.0	425759.0
SRR16683729_1	786035.0	559306.0
SRR16683729_2	786827.0	558514.0
SRR16683736_1	903199.0	663086.0
SRR16683736_2	908486.0	657799.0
SRR16683747_1	853403.0	631163.0
SRR16683747_2	867235.0	617331.0
SRR16683758_1	904920.0	650925.0
SRR16683758_2	908055.0	647790.0
SRR16683770_1	838005.0	577962.0
SRR16683770_2	849591.0	566376.0
SRR16683781_1	820748.0	602082.0
SRR16683781_2	829191.0	593639.0
SRR16683792_1	903477.0	683880.0
SRR16683792_2	913380.0	673977.0
SRR16683803_1	898379.0	706907.0
SRR16683803_2	910285.0	695001.0
SRR16683814_1	966848.0	762412.0
SRR16683814_2	978740.0	750520.0
