Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR16683517_1	(1.0, 39.4452501762174)	(2.0, 20.264161909635412)	(3.0, 12.02162063729465)	(4.0, 7.687825784498954)	(5.0, 5.078531176571559)	(6.0, 3.5217614588629806)	(7.0, 2.5413353549670377)	(8.0, 1.837145592143594)	(9.0, 1.422317349117957)	('>10', 5.897549469328308)	('>50', 0.19288492238017635)	('>100', 0.08961616898197437)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683517_2	(1.0, 40.64297074518233)	(2.0, 20.115690808764626)	(3.0, 11.86635265905046)	(4.0, 7.466246714117718)	(5.0, 4.88917058454194)	(6.0, 3.5366281195587783)	(7.0, 2.470504587438141)	(8.0, 1.7837478712118569)	(9.0, 1.2556784597136716)	('>10', 5.655582579171297)	('>50', 0.1661207216321844)	('>100', 0.09030381442782688)	('>500', 0.06100233518916808)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683518_1	(1.0, 37.43033701766242)	(2.0, 20.18776242769385)	(3.0, 12.713724019637896)	(4.0, 8.07810028046186)	(5.0, 5.547363837758272)	(6.0, 3.863781586819157)	(7.0, 2.6213434811746392)	(8.0, 1.916166067848923)	(9.0, 1.431512988624986)	('>10', 6.031017156430335)	('>50', 0.11352538444949675)	('>100', 0.06536575143818721)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683518_2	(1.0, 37.80822695067048)	(2.0, 20.299296629644108)	(3.0, 12.651422128661219)	(4.0, 7.986194161451292)	(5.0, 5.4960026595722296)	(6.0, 3.7479335432084877)	(7.0, 2.5442755613797874)	(8.0, 1.9455678419301823)	(9.0, 1.4341651514153873)	('>10', 5.826183802198308)	('>50', 0.15016767596662145)	('>100', 0.06320470726262901)	('>500', 0.047359186639257096)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683519_1	(1.0, 35.956602539348964)	(2.0, 19.64212455645697)	(3.0, 12.433923474269736)	(4.0, 8.229812425990504)	(5.0, 5.624356349585919)	(6.0, 3.8799005805310913)	(7.0, 2.8998856823393173)	(8.0, 2.187783696992411)	(9.0, 1.6377951003515987)	('>10', 7.046552310819362)	('>50', 0.35244556387440806)	('>100', 0.1088177194397169)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683519_2	(1.0, 36.49114501195175)	(2.0, 19.55296031331738)	(3.0, 12.449632403468689)	(4.0, 8.097945091134834)	(5.0, 5.52205529176045)	(6.0, 3.9245325429188376)	(7.0, 2.8128068187068656)	(8.0, 2.078241396232696)	(9.0, 1.6191277738841503)	('>10', 6.983889340727282)	('>50', 0.2999365598346032)	('>100', 0.10710376147068212)	('>500', 0.0)	('>1k', 0.06062369459176522)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683520_1	(1.0, 35.6440935864101)	(2.0, 19.156208784852307)	(3.0, 12.332186419397697)	(4.0, 7.979709954786464)	(5.0, 5.562993830146065)	(6.0, 3.913692997628155)	(7.0, 2.7994709275483807)	(8.0, 2.1266418759508183)	(9.0, 1.7100426603001841)	('>10', 8.160215276022466)	('>50', 0.4286176290041387)	('>100', 0.18612605795318285)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683520_2	(1.0, 36.26091371746035)	(2.0, 19.08162075484311)	(3.0, 12.093986805282029)	(4.0, 7.998413912684101)	(5.0, 5.361324046355721)	(6.0, 3.953000313555713)	(7.0, 2.847856864465985)	(8.0, 2.1770513980695037)	(9.0, 1.6695733464601619)	('>10', 7.889080421997778)	('>50', 0.4552752722430084)	('>100', 0.15361074103940198)	('>500', 0.05829240554317505)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683521_1	(1.0, 38.41614487561228)	(2.0, 20.455929107926156)	(3.0, 12.435176776371275)	(4.0, 8.027868938245208)	(5.0, 5.196177971793156)	(6.0, 3.5974174253269458)	(7.0, 2.4396126364471837)	(8.0, 1.8176478184995064)	(9.0, 1.4516061934223676)	('>10', 5.956938245787353)	('>50', 0.13036678179896877)	('>100', 0.07511322876954402)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683521_2	(1.0, 39.353883770017895)	(2.0, 20.261450278796524)	(3.0, 12.407312469040397)	(4.0, 7.804804311329051)	(5.0, 4.974375765683227)	(6.0, 3.6556402293278785)	(7.0, 2.50598797944415)	(8.0, 1.8428731668189444)	(9.0, 1.3433661057031203)	('>10', 5.605040552340886)	('>50', 0.13087860261872342)	('>100', 0.0631165300441565)	('>500', 0.05127023883506154)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683522_1	(1.0, 35.94296781598607)	(2.0, 19.963398155605404)	(3.0, 12.884040664872254)	(4.0, 8.485128132465416)	(5.0, 5.751014492071086)	(6.0, 3.786366534108438)	(7.0, 2.8747696229301813)	(8.0, 1.9436985145789751)	(9.0, 1.5856471098738958)	('>10', 6.470134230823324)	('>50', 0.23366992166412542)	('>100', 0.07916480502083859)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683522_2	(1.0, 36.39744085052755)	(2.0, 20.178869258681225)	(3.0, 12.671579729710656)	(4.0, 8.41321180029996)	(5.0, 5.704932342377213)	(6.0, 3.8298774546486607)	(7.0, 2.7350716875555037)	(8.0, 1.9403417950263582)	(9.0, 1.5387262110316378)	('>10', 6.25647843543341)	('>50', 0.21897471095103888)	('>100', 0.04741742094977849)	('>500', 0.0)	('>1k', 0.0670783028070037)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683523_1	(1.0, 38.17658182618495)	(2.0, 20.585838602643992)	(3.0, 12.488251405313374)	(4.0, 7.8833811899504145)	(5.0, 5.373738536648425)	(6.0, 3.703600416204431)	(7.0, 2.577712896301529)	(8.0, 1.9910926765833794)	(9.0, 1.3697870244773325)	('>10', 5.675208144507242)	('>50', 0.10209505303055369)	('>100', 0.0727122281543556)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683523_2	(1.0, 38.85409622646626)	(2.0, 20.376878898515212)	(3.0, 12.438449128322853)	(4.0, 7.996187419622639)	(5.0, 5.256422047874267)	(6.0, 3.665106231803216)	(7.0, 2.506238943584643)	(8.0, 1.8969187172327155)	(9.0, 1.3382710798179085)	('>10', 5.452776253865362)	('>50', 0.09746241500753225)	('>100', 0.05969189627287356)	('>500', 0.0)	('>1k', 0.06150074161447579)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683553_1	(1.0, 38.45739631778164)	(2.0, 20.663662817664015)	(3.0, 12.557742615041986)	(4.0, 8.122553133130843)	(5.0, 5.290201323657752)	(6.0, 3.604449877465253)	(7.0, 2.4531416965493555)	(8.0, 1.8128635904433272)	(9.0, 1.360980373270486)	('>10', 5.4962833754480185)	('>50', 0.11033669790814)	('>100', 0.07038818163921509)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683553_2	(1.0, 39.42160318921351)	(2.0, 20.439096577629716)	(3.0, 12.454313345309583)	(4.0, 7.8380736216536055)	(5.0, 5.185255930620563)	(6.0, 3.58139488847277)	(7.0, 2.4840090868698943)	(8.0, 1.782028509708251)	(9.0, 1.3215785995995002)	('>10', 5.253657157559063)	('>50', 0.1420224276438379)	('>100', 0.03577650516375389)	('>500', 0.06119016055593769)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
