Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
SRR16683517_1	(35, 1760.0)	(40, 2167.0)	(45, 3342.0)	(50, 4253.0)	(55, 5496.0)	(60, 6564.0)	(65, 8034.0)	(70, 9271.0)	(75, 10744.0)	(80, 12472.0)	(85, 13792.0)	(90, 15493.0)	(95, 17089.0)	(100, 18884.0)	(105, 20107.0)	(110, 21946.0)	(115, 22608.0)	(120, 24254.0)	(125, 24911.0)	(130, 25937.0)	(135, 26606.0)	(140, 28116.0)	(145, 1060221.0)
SRR16683517_2	(35, 1717.0)	(40, 2145.0)	(45, 3307.0)	(50, 4227.0)	(55, 5452.0)	(60, 6529.0)	(65, 8021.0)	(70, 9217.0)	(75, 10717.0)	(80, 12401.0)	(85, 13756.0)	(90, 15424.0)	(95, 17021.0)	(100, 18789.0)	(105, 20001.0)	(110, 21839.0)	(115, 22526.0)	(120, 24176.0)	(125, 24867.0)	(130, 25843.0)	(135, 26513.0)	(140, 28246.0)	(145, 1061333.0)
SRR16683518_1	(35, 3373.0)	(40, 3537.0)	(45, 5115.0)	(50, 6749.0)	(55, 8697.0)	(60, 10377.0)	(65, 12471.0)	(70, 14710.0)	(75, 16141.0)	(80, 18580.0)	(85, 20398.0)	(90, 22949.0)	(95, 24558.0)	(100, 27280.0)	(105, 28836.0)	(110, 31044.0)	(115, 32115.0)	(120, 34127.0)	(125, 35137.0)	(130, 36433.0)	(135, 37752.0)	(140, 38983.0)	(145, 1235254.0)
SRR16683518_2	(35, 3342.0)	(40, 3527.0)	(45, 5115.0)	(50, 6733.0)	(55, 8659.0)	(60, 10372.0)	(65, 12449.0)	(70, 14697.0)	(75, 16119.0)	(80, 18581.0)	(85, 20370.0)	(90, 22967.0)	(95, 24535.0)	(100, 27234.0)	(105, 28831.0)	(110, 31017.0)	(115, 32102.0)	(120, 34113.0)	(125, 35131.0)	(130, 36508.0)	(135, 37716.0)	(140, 39184.0)	(145, 1235314.0)
SRR16683519_1	(35, 5850.0)	(40, 6420.0)	(45, 9165.0)	(50, 11170.0)	(55, 14395.0)	(60, 16928.0)	(65, 19746.0)	(70, 22850.0)	(75, 25256.0)	(80, 28695.0)	(85, 30735.0)	(90, 33664.0)	(95, 35546.0)	(100, 38598.0)	(105, 39600.0)	(110, 41337.0)	(115, 41865.0)	(120, 43055.0)	(125, 43156.0)	(130, 43394.0)	(135, 43612.0)	(140, 43711.0)	(145, 1128233.0)
SRR16683519_2	(35, 5766.0)	(40, 6383.0)	(45, 9118.0)	(50, 11119.0)	(55, 14361.0)	(60, 16880.0)	(65, 19722.0)	(70, 22784.0)	(75, 25209.0)	(80, 28637.0)	(85, 30649.0)	(90, 33607.0)	(95, 35519.0)	(100, 38547.0)	(105, 39573.0)	(110, 41261.0)	(115, 41760.0)	(120, 43002.0)	(125, 43137.0)	(130, 43468.0)	(135, 43559.0)	(140, 44009.0)	(145, 1128911.0)
SRR16683520_1	(35, 4680.0)	(40, 5463.0)	(45, 8156.0)	(50, 9863.0)	(55, 12641.0)	(60, 14711.0)	(65, 17326.0)	(70, 19504.0)	(75, 21799.0)	(80, 24448.0)	(85, 26227.0)	(90, 28833.0)	(95, 30165.0)	(100, 32341.0)	(105, 33633.0)	(110, 35577.0)	(115, 36141.0)	(120, 37605.0)	(125, 37779.0)	(130, 38327.0)	(135, 38262.0)	(140, 39166.0)	(145, 1168653.0)
SRR16683520_2	(35, 4627.0)	(40, 5431.0)	(45, 8125.0)	(50, 9817.0)	(55, 12601.0)	(60, 14672.0)	(65, 17255.0)	(70, 19447.0)	(75, 21722.0)	(80, 24421.0)	(85, 26162.0)	(90, 28736.0)	(95, 30113.0)	(100, 32220.0)	(105, 33564.0)	(110, 35498.0)	(115, 36076.0)	(120, 37557.0)	(125, 37735.0)	(130, 38258.0)	(135, 38144.0)	(140, 39146.0)	(145, 1169973.0)
SRR16683521_1	(35, 3828.0)	(40, 4316.0)	(45, 6476.0)	(50, 8105.0)	(55, 10541.0)	(60, 12724.0)	(65, 14920.0)	(70, 17858.0)	(75, 20269.0)	(80, 23081.0)	(85, 25074.0)	(90, 27558.0)	(95, 29392.0)	(100, 31971.0)	(105, 33216.0)	(110, 35166.0)	(115, 35314.0)	(120, 36261.0)	(125, 36879.0)	(130, 37110.0)	(135, 37417.0)	(140, 37576.0)	(145, 1056925.0)
SRR16683521_2	(35, 3746.0)	(40, 4313.0)	(45, 6467.0)	(50, 8087.0)	(55, 10523.0)	(60, 12686.0)	(65, 14888.0)	(70, 17810.0)	(75, 20227.0)	(80, 22991.0)	(85, 25039.0)	(90, 27497.0)	(95, 29386.0)	(100, 31908.0)	(105, 33144.0)	(110, 35037.0)	(115, 35329.0)	(120, 36206.0)	(125, 36893.0)	(130, 37109.0)	(135, 37373.0)	(140, 37768.0)	(145, 1057550.0)
