Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR16683517_1	SRR16683517_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1384067.0	192.1 Mbp	0.0	35-149	50.0	58.281043163458236	137.8620644809825	147	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
SRR16683517_2	SRR16683517_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1384067.0	192.1 Mbp	0.0	35-149	50.0	59.210696516724745	137.9055125221539	147	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass
SRR16683518_1	SRR16683518_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1704616.0	233.2 Mbp	0.0	35-149	50.0	56.74725468363051	135.96044915687756	147	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass
SRR16683518_2	SRR16683518_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1704616.0	233.2 Mbp	0.0	35-149	50.0	57.084581080057525	135.9711143154822	147	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass
SRR16683519_1	SRR16683519_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1766981.0	233.4 Mbp	0.0	35-149	51.0	55.11974319385552	131.3247550482999	147	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
SRR16683519_2	SRR16683519_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1766981.0	233.4 Mbp	0.0	35-149	51.0	55.53500159169455	131.35995916198306	147	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass
SRR16683520_1	SRR16683520_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1721300.0	230.6 Mbp	0.0	35-149	50.0	54.51364239174965	133.15006680996922	147	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
SRR16683520_2	SRR16683520_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1721300.0	230.6 Mbp	0.0	35-149	50.0	54.976750642337294	133.19063208040436	147	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
SRR16683521_1	SRR16683521_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1581977.0	211.7 Mbp	0.0	35-149	50.0	57.60500027434626	133.04011942019383	147	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass
SRR16683521_2	SRR16683521_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1581977.0	211.8 Mbp	0.0	35-149	50.0	58.31984426557712	133.07037902573805	147	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass
