Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR16683517_1	41.718956836541764	50.0	137.8620644809825	147	10.0	1.384067
SRR16683517_2	40.789303483275255	50.0	137.9055125221539	147	0.0	1.384067
SRR16683518_1	43.25274531636949	50.0	135.96044915687756	147	0.0	1.704616
SRR16683518_2	42.915418919942475	50.0	135.9711143154822	147	0.0	1.704616
SRR16683519_1	44.88025680614448	51.0	131.3247550482999	147	10.0	1.766981
SRR16683519_2	44.46499840830545	51.0	131.35995916198306	147	0.0	1.766981
SRR16683520_1	45.48635760825035	50.0	133.15006680996922	147	10.0	1.7212999999999998
SRR16683520_2	45.023249357662706	50.0	133.19063208040436	147	10.0	1.7212999999999998
SRR16683521_1	42.39499972565374	50.0	133.04011942019383	147	0.0	1.581977
SRR16683521_2	41.68015573442288	50.0	133.07037902573805	147	0.0	1.581977
SRR16683522_1	44.58302450393017	50.0	129.37564370855532	147	0.0	1.9142979999999998
SRR16683522_2	44.153393045752495	50.0	129.4303582827752	147	0.0	1.9142979999999998
SRR16683523_1	42.52238754655331	50.0	132.64271668983884	147	0.0	1.6701059999999999
SRR16683523_2	42.00729352266983	50.0	132.6852828503101	147	0.0	1.6701059999999999
SRR16683553_1	42.20400267506944	50.0	135.97330938595707	147	0.0	1.630798
SRR16683553_2	41.50570287852092	50.0	136.0104905696475	147	0.0	1.630798
SRR16683554_1	41.69756309820384	50.0	138.04149382351315	147	0.0	1.482558
SRR16683554_2	41.02063572034219	50.0	138.05940206049274	147	0.0	1.482558
SRR16683555_1	42.1188278135872	50.0	136.3667506325065	147	0.0	1.6288369999999999
SRR16683555_2	41.64108959155088	50.0	136.394930247778	147	0.0	1.6288369999999999
SRR16683556_1	40.817323843545516	50.0	135.1648201022114	147	0.0	1.362079
SRR16683556_2	40.47174239494542	50.0	135.1726463736685	147	0.0	1.362079
SRR16683557_1	41.18877528858687	50.0	133.75621150844927	147	0.0	1.4897749999999998
SRR16683557_2	40.11281026642952	50.0	133.7965531707808	147	0.0	1.4897749999999998
SRR16683558_1	45.86654705507917	50.0	129.89975549081882	147	0.0	1.880093
SRR16683558_2	45.005946150272955	50.0	129.9759751246348	147	0.0	1.880093
SRR16683559_1	40.68355865444458	50.0	136.61793337142973	147	0.0	1.396458
SRR16683559_2	39.39720032381889	50.0	136.6663988462238	147	0.0	1.396458
SRR16683560_1	42.28397915945753	50.0	139.09604284188558	147	0.0	1.448489
SRR16683560_2	41.804160092444675	50.0	139.10775504681084	147	0.0	1.448489
