locus_tag	gene_name	start_site	end_site	gene_length
NGK_RS00005	dnaA	158	1714	1557
NGK_RS00010	dnaN	1794	2896	1103
NGK_RS00015	ppk1	3045	5102	2058
NGK_RS00020		5271	5714	444
NGK_RS00025		5721	6237	517
NGK_RS00035	leuS	6504	9134	2631
NGK_RS00040		9363	10154	792
NGK_RS16320		10118	10291	174
NGK_RS15670		10284	11092	809
NGK_RS00050		11089	11644	556
NGK_RS00055		12094	12306	213
NGK_RS00060		12416	12727	312
NGK_RS00065		12724	13091	368
NGK_RS00075		13981	14066	86
NGK_RS00080	secG	14080	14430	351
NGK_RS00085	tpiA	14437	15210	774
NGK_RS00090		15393	15896	504
NGK_RS00095		15999	16655	657
NGK_RS00100		16736	17059	324
NGK_RS00105	tdfF	17322	19489	2168
NGK_RS00110		19752	20075	324
NGK_RS00115		20108	21079	972
NGK_RS00120		21315	22271	957
NGK_RS00125		22384	24399	2016
NGK_RS00130	argA	24495	25805	1311
NGK_RS00135		25802	26230	429
NGK_RS00140	pyrE	26304	26945	642
NGK_RS00145		27007	27744	738
NGK_RS00150	rimI	27738	28178	441
NGK_RS00155	tsaB	28175	28852	678
NGK_RS00160		28991	29848	858
NGK_RS00165	fba	29987	31051	1065
NGK_RS00170	xerC	31245	32162	918
NGK_RS00175	dxs	32247	34160	1914
NGK_RS15260		34225	34389	165
NGK_RS00185	miaB	34407	35735	1329
NGK_RS14845		35932	36009	78
NGK_RS15675		36060	36445	386
NGK_RS00195	hemL	36509	37789	1281
NGK_RS15680		38013	38821	809
NGK_RS00210	orn	39095	39658	564
NGK_RS00215	prmA	39676	40563	888
NGK_RS00220	accC	40667	42028	1362
NGK_RS00225	accB	42142	42603	462
NGK_RS00230		42585	42842	258
NGK_RS00235	queA	42959	43999	1041
NGK_RS00240	carB	44200	47414	3215
NGK_RS00245		47421	47969	549
NGK_RS00250		47972	48535	564
NGK_RS00255		49716	50105	390
NGK_RS00265		50268	50647	380
NGK_RS00270	carA	50701	51834	1134
NGK_RS00275		52549	52833	285
NGK_RS00285	pilC	53684	56851	3168
NGK_RS00295	apbC	59171	60250	1080
NGK_RS00300		60469	60544	76
NGK_RS00305		60624	61133	510
NGK_RS00315	nadR	61474	61914	441
NGK_RS00320	hpaC	62029	62529	501
NGK_RS00325	murU	62545	63240	696
NGK_RS00330		63274	63704	431
NGK_RS00335		63879	65555	1677
NGK_RS00340	ychF	65669	66760	1092
NGK_RS00345		66798	67037	240
NGK_RS00350		67034	68909	1876
NGK_RS00355	tyrS	68971	70266	1296
NGK_RS00360		71073	71861	789
NGK_RS00370	ribF	72123	73043	921
NGK_RS00375	ileS	73185	75974	2790
NGK_RS00380		76395	77144	750
NGK_RS00385	lspA	78288	78782	495
NGK_RS00390	ispH	78812	79780	969
NGK_RS00395		79881	80210	330
NGK_RS00400		80537	81196	660
NGK_RS00405		81356	81571	216
NGK_RS00410		81517	82060	544
NGK_RS00420		82130	83060	931
NGK_RS15690		83416	83646	231
NGK_RS00425	dnaE	83712	87146	3435
NGK_RS15695		87431	87667	237
NGK_RS15700		87679	87912	234
NGK_RS00435		87890	88093	204
NGK_RS00445		88388	89224	837
NGK_RS00450		89276	90568	1293
NGK_RS00455		90624	92534	1911
NGK_RS00460		92582	93757	1176
NGK_RS16325		93888	95129	1242
NGK_RS00470		95297	96718	1422
NGK_RS00475	ribD	96913	98022	1110
NGK_RS00480		98054	98518	465
NGK_RS00485		98547	99389	843
NGK_RS00490	aroB	100129	101208	1080
NGK_RS00495		101288	101800	513
NGK_RS00505	pilQ	103068	105263	2196
NGK_RS00510		105282	105827	546
NGK_RS00515		105845	106492	648
NGK_RS00520		106493	107092	600
NGK_RS00525	pilM	107095	108210	1116
NGK_RS00530		108362	110758	2397
NGK_RS00535	yihA	110879	111508	630
NGK_RS00540		111715	112338	624
NGK_RS00550		112616	114568	1953
NGK_RS00555	ccsB	114561	115748	1188
NGK_RS00560	tsaD	115864	116928	1065
NGK_RS00565		116973	117866	894
NGK_RS00570	metK	118212	119381	1170
NGK_RS00575	dacB	119446	120855	1410
NGK_RS00580		121014	121586	573
NGK_RS00595		121964	123277	1314
NGK_RS00600		123545	124174	630
NGK_RS00605		124256	125506	1251
NGK_RS00610	rng	125541	127034	1494
NGK_RS00615	grxC	127253	127510	258
NGK_RS00620	secB	127531	127974	444
NGK_RS00625	recG	128060	130102	2043
NGK_RS00630	argC	130696	131739	1044
NGK_RS00635		131736	132017	282
NGK_RS00645		132269	133423	1155
NGK_RS15715		133432	133659	228
NGK_RS00655		133652	134005	354
NGK_RS00660		134066	135340	1275
NGK_RS00665		135525	135872	348
NGK_RS00670		135886	136101	216
NGK_RS00675		136203	137921	1719
NGK_RS14870		137922	138038	117
NGK_RS00680		138117	138398	282
NGK_RS00685		138419	139645	1227
NGK_RS14875		139744	139930	187
NGK_RS00695	queC	140134	140793	660
NGK_RS00700		140821	141336	516
NGK_RS00705	queD	141424	141858	435
NGK_RS00710		142129	142497	369
NGK_RS00715		142494	143132	639
NGK_RS00720		143468	143544	77
NGK_RS00725	nagZ	143769	144854	1086
NGK_RS00730		144911	146431	1521
NGK_RS00740		146634	148133	1500
NGK_RS00745	nth	148271	148900	630
NGK_RS00750		148947	149360	414
NGK_RS00760		149796	151019	1224
NGK_RS00765	nhaC	151309	152688	1380
NGK_RS00770		152831	153655	825
NGK_RS00775	ybeY	153657	154172	516
NGK_RS00780	hemC	154291	155226	936
NGK_RS00785		155512	155877	366
NGK_RS15720		156251	157058	808
NGK_RS00795		157136	158374	1239
NGK_RS00805		158554	159927	1374
NGK_RS00815	dusB	160141	161145	1005
NGK_RS15270		161158	161307	150
NGK_RS00820		161334	161573	240
NGK_RS00825	ruvC	161576	162112	537
NGK_RS00830		162163	163032	870
NGK_RS16135		163686	163820	135
NGK_RS00840		163936	164730	795
NGK_RS00845	pepN	164955	167558	2604
NGK_RS00850		167620	168273	654
NGK_RS16330		168407	168598	192
NGK_RS00860		168618	169166	549
NGK_RS15725		169154	169492	339
NGK_RS00875		169537	169914	378
NGK_RS00880		169972	170337	366
NGK_RS00885		170319	170858	540
NGK_RS00890		170901	171767	867
NGK_RS00900		171987	172901	915
NGK_RS00905		172978	173853	876
NGK_RS00910		173888	174613	726
NGK_RS00915	rplS	174934	175299	366
NGK_RS00920	trmD	175314	176063	750
NGK_RS00925	rimM	176063	176572	510
NGK_RS00930	rpsP	176588	176833	246
NGK_RS14175		176878	179301	2424
NGK_RS00940	misS	179419	180825	1407
NGK_RS00945	misR	180838	181515	678
NGK_RS00950		181591	183519	1929
NGK_RS00955		183509	183862	354
NGK_RS00960		183871	184479	609
NGK_RS00965	tatC	184523	185293	771
NGK_RS00970	tatB	185306	185992	687
NGK_RS00975	tatA	185996	186199	204
NGK_RS00980		186246	186569	324
NGK_RS00985		186643	186966	324
NGK_RS00990		187107	188171	1065
NGK_RS00995		188565	188894	330
NGK_RS12520		189252	189481	230
NGK_RS01010		189561	190523	963
NGK_RS01015		191067	191819	753
NGK_RS16485		191919	192095	177
NGK_RS01020		192183	193643	1461
NGK_RS01025	parC	193663	195966	2304
NGK_RS01030		196115	196798	684
NGK_RS01040		197775	198428	654
NGK_RS16490		198827	199168	342
NGK_RS01055	alaS	199230	201854	2625
NGK_RS01060		202058	203188	1131
NGK_RS01065		203229	204131	903
NGK_RS01070		204279	204767	489
NGK_RS01075	mtrA	204829	205734	906
NGK_RS01080		205863	206198	336
NGK_RS01085		206329	206799	471
NGK_RS01090	pgsA	206905	207468	564
NGK_RS01095		207549	207624	76
NGK_RS01100		207650	207725	76
NGK_RS01105		207751	207826	76
NGK_RS01110		207852	207925	74
NGK_RS01115		208026	208115	90
NGK_RS01120	sohB	208219	209271	1053
NGK_RS01125		209322	210176	855
NGK_RS01130		210187	210618	432
NGK_RS01135		210853	211722	870
NGK_RS01140	hisB	211798	212709	912
NGK_RS01145	hisC	212726	213805	1080
NGK_RS01150	hisD	213851	215140	1290
NGK_RS01155		215137	216024	888
NGK_RS01160	hisG	216116	216781	666
NGK_RS01165		216860	217513	654
NGK_RS01170		217789	217873	85
NGK_RS14895		217930	218043	114
NGK_RS01175	ilvB	218567	220294	1728
NGK_RS01180	ilvN	220305	220796	492
NGK_RS01185		220863	221156	294
NGK_RS01190	ilvC	221236	222249	1014
NGK_RS01195		222368	223363	996
NGK_RS01200	acnB	223505	226090	2586
NGK_RS01210	lptG	226404	227474	1071
NGK_RS01215	lptF	227471	228586	1116
NGK_RS15280		228575	228757	183
NGK_RS01220		228760	230166	1407
NGK_RS01225		230229	230669	441
NGK_RS01230		230929	231747	819
NGK_RS01235	purN	231854	232480	627
NGK_RS01240		232496	233167	672
NGK_RS01245		233285	233707	423
NGK_RS01250		234230	234946	717
NGK_RS01255		235095	235997	903
NGK_RS01260		236040	236814	775
NGK_RS01265		236926	238614	1689
NGK_RS01270	gshB	238706	239662	957
NGK_RS01275		239821	240204	384
NGK_RS01280		240336	240809	474
NGK_RS01285	mnmA	240934	242037	1104
NGK_RS01290		242108	243778	1671
NGK_RS01295		243890	245524	1635
NGK_RS01300		245666	246319	654
NGK_RS01305		246316	246504	189
NGK_RS01310		246812	247945	1134
NGK_RS01315		247949	248590	642
NGK_RS01320	uvrA	248608	251457	2850
NGK_RS01325		251611	252390	780
NGK_RS01330	znuD	252930	255206	2277
NGK_RS01335		255617	256207	591
NGK_RS01340	trpD	256271	257299	1029
NGK_RS01345		257633	257962	330
NGK_RS01350		258106	259224	1119
NGK_RS01355	yajC	259355	259621	267
NGK_RS01360	secD	259833	261686	1854
NGK_RS01365	secF	261690	262625	936
NGK_RS16140		262615	262749	135
NGK_RS01370	rpsO	262830	263099	270
NGK_RS01375		263377	264501	1125
